KeepSailNo,MergeSailNo,OnlyNamed,Notes
GBR3110X,GBR3110,,"Phantom. Royal Southern June 2026 published the Cape 31 sail number without its X, minting a second JUBILEE. Same owner (Tony Dickin), same class."
GBR314X,GBR314R,,"Phantom. Same fault - a second KATABATIC under the un-suffixed number. Same owner (Lance Adams), same class."
GBR3113X,GBR3113,SWIFT HALF,"Collision, not a duplicate. GBR3113 is ECLIPSE, a 0.924-rated boat that raced IRC 4 in 2018. Six 2026 SWIFT HALF entries were filed onto it because the Cape 31 GBR3113X lost its X. Move only the SWIFT HALF entries; ECLIPSE keeps its own."
GBR8666,IOM8666,,name:POLISHED MANX||SIGMA 33
GBR7445,GBR7445R,,name:AMANJIWO||FRERS 44
GBR7408R,GB7408R,,name:ARTHUR||FIRST 40
GBR1346R,GBR1356R,,name:BELLADONNA||GRAND SOLEIL 46
GBR4778R,GBR4023R,,name:EH01||FIRST
FIN16582,FIN15682,,name:EIRA||SWAN 51
GBR362,GBR362T,,name:EXTRA DJINN||X-362 SPORT
MHL1948,USA1948,,name:IL MOSTRO||VOLVO OPEN 70
MLT923,GBR918R,JARHEAD,Fold record also carries a different boat; only the JARHEAD entries move. GBR918R's 2017 entries are OLWYN, a Swan 53. name:JARHEAD||J/109
GBR4018N,GBR4018L,,name:JAZZ||FIRST 40
GBR9660R,GBR9660,,name:LEE OVERLAY PARTNERS II||SWAN 60
FRA44419,FRA43904,,name:LEMANCELLO||SUN FAST 3200
GBR4512R,GBR4512,,name:PEOPLE||FARR 45
BEL1030,POL80,,name:PNEUMA||JPK 1030
FRA38902,FRA38904,,name:RAGING BEE||JPK 1010
GBR2752R,SWE4501,SAO JORGE,Fold record also carries a different boat; only the SAO JORGE entries move. SWE4501's own entry is BLACK LILY. name:SAO JORGE||HARMONY 52
MLT7387,MLT7378,,name:VIVACE||REFLEX 38
GBR4906R,NOR15811,,name:YANI||MARTEN 49
NED75,NED141,,name:MOONPALACE||CLASS40
GBR6899R,GBR6899,,name:JAM||J/99
FRA148,OMA139,,name:OMAN SAIL||CLASS40
FRA113,FRA150,PARTOUCHE,"Fold record also carries a different boat; only the PARTOUCHE entries move. FRA150 is CARAC, Louis Duc. name:PARTOUCHE||CLASS40"
GBR912R,GBR1602L,,name:POLKA||FIRST
GBR312X,RSA31,TOKOLOSHE 4,Fold record also carries a different boat; only the TOKOLOSHE 4 entries move. name:TOKOLOSHE 4||CAPE 31
GBR9967Y,9967Y,,name:UGLY DUCKLING||SAGITTA 35
FRA30,FRA30C,,name:UP SAILING||CLASS40
GBR1321L,GBR9368T,ESCAPADO,"Fold record also carries a different boat; only the ESCAPADO entries move. GBR9368T is NORTH STAR, Cris Miles. name:ESCAPADO||FIRST"
CO888,GBR888,,name:RAINBOW UK||CONTESSA 32
86,X86,,name:AORA||XOD
51,X51,,name:ATHENA||XOD
105,X105,,name:BLUE PHANTOM||XOD
146,X146,,name:CAPRICE||XOD
121,X121,,name:CURLEW||XOD
GBR726R,GBR726,,name:JUMBLESAIL||J/80
80,X80,,name:LASS||XOD
64,X64,,name:LIGHTWOOD||XOD
76,X76,,name:MYRTLE||XOD
169,X169,,name:PERDIX||XOD
188,X188,,name:PRINCESS JALINA||XOD
