BoatId,SailNo,OfficialName,Reason
1,GBR8248,INCISOR,"THE MIGHTY INCISOR was a temporary name. A sponsor or one-off name does not replace the official one, so the latest-season rule is overridden here."
134,GBR888X,SUNRISE,SUNRISE BY THE ADVENTURER looks like a sponsor or one-off name: raced 125 times as SUNRISE against 7 as SUNRISE BY THE ADVENTURER.
1785,GBR7005R,TROJAN,TROJAN OF UPNOR looks like a sponsor or one-off name: raced 73 times as TROJAN against 1 as TROJAN OF UPNOR.
142,SUI4777,KALI,KALI - SORC looks like a sponsor or one-off name: raced 54 times as KALI against 1 as KALI - SORC.
2357,FRA43933,RAGING-BEE²,raging bee 2 looks like a sponsor or one-off name: raced 38 times as RAGING-BEE² against 1 as raging bee 2.
332,GBR4019N,TANGO,YACHTFORCE TANGO looks like a sponsor or one-off name: raced 34 times as TANGO against 1 as YACHTFORCE TANGO.
695,GBR7384R,SIRENS' TIGRESS,@TEAM TIGRESS ON SIRENS' TIGRESS looks like a sponsor or one-off name: raced 32 times as SIRENS' TIGRESS against 4 as @TEAM TIGRESS ON SIRENS' TIGRESS.
241,MLT044,XPRESSO,Martini Xpresso looks like a sponsor or one-off name: raced 22 times as XPRESSO against 1 as Martini Xpresso.
1360,GBR1859L,SFIDA,SFIDA / DEAF SAILING U.K. looks like a sponsor or one-off name: raced 19 times as SFIDA against 2 as SFIDA / DEAF SAILING U.K..
4357,FRA9186,CARTOON,Duff Lite - Cartoon looks like a sponsor or one-off name: raced 19 times as CARTOON against 2 as Duff Lite - Cartoon.
2287,FRA37916,GEORGIA,les vaccins c'est bien avec georgia looks like a sponsor or one-off name: raced 17 times as GEORGIA against 1 as les vaccins c'est bien avec georgia.
148,CAY007,COMANCHE,Master Lock Comanche looks like a sponsor or one-off name: raced 15 times as COMANCHE against 3 as Master Lock Comanche.
750,GBR4712R,OUTRAGEOUS,Outrageous of Falmouth looks like a sponsor or one-off name: raced 14 times as OUTRAGEOUS against 1 as Outrageous of Falmouth.
4033,GBR1966L,FEMME FATALE,FEMME FATALE - ACRISURE looks like a sponsor or one-off name: raced 7 times as FEMME FATALE against 1 as FEMME FATALE - ACRISURE.
178,ITA17523,LIMA,Lima Tbond looks like a sponsor or one-off name: raced 6 times as LIMA against 1 as Lima Tbond.
229,ITA14117,ULTRAVOX,ULTRAVOX CVC looks like a sponsor or one-off name: raced 6 times as ULTRAVOX against 1 as ULTRAVOX CVC.
