Class,Pos,BoatName,Owner,Total
Class 0 IRC,1,ICAP LEOPARD,,12.0
Class 0 IRC,2,ALFA ROMEO,,17.0
Class 0 IRC,3,ROXY,,18.0
Class 0 IRC,4,MIRABAUD,,20.0
Class 0 IRC,5,ESTRELLA DAMM,,25.0
Class 0 IRC,5,SPIRIT OF WEYMOUTH,,25.0
Class 0 IRC,5,ARTEMIS OCEAN RACING,,25.0
Class 0 IRC,8,PINDAR ALPHAGRAPHICS,,29.0
Class 1 IRC,1,FLASH GLOVE,,12.0
Class 1 IRC,2,LOKI,,25.0
Class 1 IRC,3,PANTHERA,,33.0
Class 1 IRC,4,COCKBURNS RED,,35.0
Class 1 IRC,5,ISLAND FLING,,34.0
Class 1 IRC,6,SPIRIT OF JETHOU,,38.0
Class 1 IRC,7,CHERNIKEEFF 2,,48.0
Class 1 IRC,8,ST JAMES'S PLACE,,69.0
Class 1 IRC,9,FORMIDABLE 3,,65.0
Class 1 IRC,10,SNOW LION,,86.0
Class 1 IRC,11,BEAR OF BRITAIN,A,90.0
Class 1 IRC,12,V PROJECT,,81.0
Class 1 IRC,13,BEAR OF BRITAIN,B,100.0
Class 1 IRC,14,PINDAR ALPHAGRAPHICS,,100.0
Class 1 IRC,15,FULL PELT/SLAM,,117.0
Class 1 IRC,16,VENOMOUS,,125.0
Class 1 IRC,17,SPIRIT OF MINERVA,A,135.0
Class 1 IRC,18,SPIRIT OF JUNO,C,135.0
Class 1 IRC,19,SPIRIT OF MINERVA,C,137.0
Class 1 IRC,20,SPIRIT OF JUNO,B,137.0
Class 1 IRC,21,SPIRIT OF DIANA,B,137.0
Class 1 IRC,22,SPIRIT OF ISIS,C,137.0
Class 1 IRC,23,SPIRIT OF ISIS,B,137.0
Class 1 IRC,24,SPIRIT OF DIANA,A,137.0
Class 1 IRC,25,SPIRIT OF ISIS,A,137.0
Class 1 IRC,26,SPIRIT OF MINERVA,B,137.0
Class 1 IRC,27,SPIRIT OF JUNO,A,137.0
Class 2 IRC,1,WISC,,17.0
Class 2 IRC,2,DARK & STEAMY,,38.0
Class 2 IRC,3,RENAISSANCE,,45.0
Class 2 IRC,4,FEVER,,46.0
Class 2 IRC,5,CHECKMATE,,49.0
Class 2 IRC,6,HENRI LLOYD,,50.5
Class 2 IRC,7,BOLIDT,,58.5
Class 2 IRC,8,DSK COMIFIN,,58.0
Class 2 IRC,9,MCFLY,,62.0
Class 2 IRC,10,EXABYTE 4,,67.0
Class 2 IRC,11,REBEL,,74.0
Class 2 IRC,12,JOHN MERRICKS,,72.0
Class 2 IRC,13,ACCENTURE FAIR DO'S,B,81.0
Class 2 IRC,14,FRAXIOUS,,87.0
Class 2 IRC,15,FORTIS EXCEL,,94.0
Class 2 IRC,16,NISIDA,,113.0
Class 2 IRC,17,ATOMIC OF COWES,,117.0
Class 2 IRC,18,ACCENTURE FAIR DO'S,A,121.0
Class 2 IRC,19,INCISOR,,128.0
Class 2 IRC,20,SHOCKWAVE,,140.0
Class 3 IRC,1,HOLMATRO,,63.0
Class 3 IRC,2,ROARK,,18.0
Class 3 IRC,3,UXORIOUS III,,66.5
Class 3 IRC,4,MOANA,,40.0
Class 3 IRC,5,CODIAM ENSP DH,,41.0
Class 3 IRC,6,KING LOUIE,,72.0
Class 3 IRC,7,ERIVALE III,,64.0
Class 3 IRC,8,ECLECTIC,,109.0
Class 3 IRC,9,ALLARD,,79.0
Class 3 IRC,10,WEERGA,,81.0
Class 3 IRC,11,PREMIER FLAIR,,83.5
Class 3 IRC,12,DAIKIN AIRCO,,94.0
Class 3 IRC,13,CRACKER,,110.0
Class 3 IRC,14,BIELA,,113.0
Class 3 IRC,15,RUNAWAY,,142.0
Class 3 IRC,16,WINDSONG,,114.0
Class 3 IRC,17,DESPERADO OF COWES,,144.0
Class 3 IRC,18,HOOLIGAN VI,,120.0
Class 3 IRC,19,EXEL PROMOTION,,151.0
Class 3 IRC,20,CIRCUS,,134.0
Class 3 IRC,21,HURRYCANE V,,169.0
Class 3 IRC,22,JEDI KNIGHT,,171.0
Class 3 IRC,23,PHOENIX,,152.0
Class 3 IRC,24,FUTURO,,185.0
Class 3 IRC,25,LONGBOW,,203.0
Class 3 IRC,26,MITRE CAPITAL PRTNRS,,210.0
Class 3 IRC,27,JELLINA,,199.0
Class 3 IRC,28,MOONRAKER,,222.0
Class 3 IRC,29,STS ANTILOPE,,225.0
Class 3 IRC,30,DASH,,226.0
Class 3 IRC,31,POPOV,,212.0
Class 3 IRC,32,SAILPLANE,,234.0
Class 3 IRC,33,JACOB'S LADDER,,218.0
Class 3 IRC,34,CAJOU,,226.5
Class 3 IRC,35,PANTHER,,230.0
Class 3 IRC,36,DRAGON OF HAMBLE,,237.5
Class 3 IRC,37,REVIVE,,239.0
Class 3 IRC,38,AZZURRA OF BRISTOL,,243.0
Class 3 IRC,39,MAVERICK,,267.0
Class 3 IRC,40,TALISMAN,,270.0
Class 3 IRC,41,PHEZULU,,268.0
Class 3 IRC,42,KOKO KAI,,293.0
Class 3 IRC,43,LUTINE,,296.0
Class 3 IRC,44,MINNIE THE MOOCHER,,309.0
Class 3 IRC,45,WATER VENTURE,,314.0
Class 3 IRC,46,PI SQUARED,,317.0
Class 3 IRC,47,DISCO INFERNO 2,,336.0
Class 3 IRC,48,GLOBAL YACHT RACING,,350.0
Class 3 IRC,49,SMALL LIBATION,,352.0
Class 3 IRC,50,NOVUS ARCA,,371.0
Class 3 IRC,50,ADVANTAGE,,371.0
Class 3 IRC,50,MOLLY MOG,,371.0
Class 4 IRC,1,AMEY LOVE SHACK,,8.0
Class 4 IRC,2,HEALTHSURE,,18.0
Class 4 IRC,3,BEECHWOOD HOMES,,26.0
Class 4 IRC,4,INCOGNITO,,31.5
Class 4 IRC,5,TAN IT,,89.5
Class 4 IRC,6,XINSKA,,54.0
Class 4 IRC,7,SKANDIA INTERNAT'L,,60.0
Class 4 IRC,8,TARKA PWC,,114.0
Class 4 IRC,9,DEUTSCHE BANK,,118.0
Class 4 IRC,10,GENIE,,91.0
Class 4 IRC,11,AVALANCHE,,124.0
Class 4 IRC,12,JEBA,,129.0
Class 4 IRC,13,EXOCET STRIKE,,135.0
Class 4 IRC,14,PUMA LOGIC,,142.0
Class 4 IRC,15,DONATELLO,,119.0
Class 4 IRC,16,LINKLATERS 1,,145.0
Class 4 IRC,17,CASPIAN SERVICES,,116.0
Class 4 IRC,18,SKANDIA INVESTMENT,,157.0
Class 4 IRC,19,SHADOWFAX,,143.0
Class 4 IRC,20,"FACE, BOVVERED?",,166.5
Class 4 IRC,21,HW CORPORATE FINANCE,,176.0
Class 4 IRC,22,ZUIDFRIES,,174.0
Class 4 IRC,23,LICKETY SPLIT,,183.0
Class 4 IRC,24,GLEEDS,,204.0
Class 4 IRC,25,FANDANGO,,190.0
Class 4 IRC,26,SPACE RACE,,214.5
Class 4 IRC,27,VAMINOS,,221.0
Class 4 IRC,28,SWAN GALIANA,,220.0
Class 4 IRC,29,BALLISTIC,,242.0
Class 4 IRC,30,RANGATIRA,,242.0
Class 4 IRC,31,LINKLATERS 2,,249.0
Class 4 IRC,32,LIGHTNING REFLEX,,255.0
Class 4 IRC,33,COYOTE,A,257.0
Class 4 IRC,34,COYOTE,B,264.0
Class 4 IRC,35,JAGUAR LOGIC,,270.0
