EventName,Year,Entries,Segment,Disposition,SourceFile
Camden Classics Cup,2025,91,Classic,new event,2025\7. July\Camden Classics Cup.xlsx
Camden Classics Cup,2026,81,Classic,new event,2025\7. July\Camden Classics Cup.xlsx
Camden Classic,2026,79,Classic,new event,2026\7. July\Camden Classic [July 23-25].xlsx
XXIX Regata Illes Balears Classics - Vela Clasica Mallorca,2024,74,Classic,new event,August Marketshares 2024\XXIX Regata Illes Balears Classics - Vela Clasica Mallorca [14-18].xlsx
Copa del Rey Vela Clásica Menorca,2026,39,Classic,new event,2026\8. August\Copa del Rey Vela Clásica Menorca [Aug 25 - 29].xlsx
12 Meter NS Championship,2025,36,Classic,new event,2026\9. September\12 Meter NS Championship [Sept 18-20].xlsx
Herreshoff Classic Regatta,2025,36,Classic,new event,2026\8. August\Herreshoff Classic Regatta [Aug 28-30].xlsx
Opera House Cup,2025,36,Classic,new event,2026\8. August\Opera House Cup [Aug 16].xlsx
Opera House Cup,2026,30,Classic,new event,2026\8. August\Opera House Cup [Aug 16].xlsx
8 Metre World Cup 2025,2025,24,Classic,new event,2025\7. July\8 Metre World Cup 2025 Marketshare.xlsx
Johan Anker Cup 2026,2026,21,Classic,new event,2026\5. May\Johan Anker Cup 2026 [May 13-16].xlsx
12m World Championships,2026,13,Classic,new event,2026\8. August\12m World Championships [Aug 18-22].xlsx
8 Meters World Cup,2024,13,Classic,new event,August Marketshares 2024\8 Meters World Cup [Aug 17 - 24].xlsx
Start Vintage Gold Cup,2026,7,Classic,new event,2026\9. September\Start Vintage Gold Cup [Sept. 30 - Oct 3].xlsx
12 Meter NS Championship,2026,5,Classic,new event,2026\9. September\12 Meter NS Championship [Sept 18-20].xlsx
12mR North American Championship- Traditionals,2025,4,Classic,new event,2025\9. September\🔹12mR North American Championship- Traditionals [Sep 19-21].xlsx
Foiling Week,2026,118,Grand Prix,new event,2026\6. June\Foiling Week [June 28 - July 5].xlsx
Foiling Week 2025,2025,74,Grand Prix,new event,2025\6. June\Foiling Week Marketshare 2025.xlsx
Transat Café l’Or,2025,71,Grand Prix,new event,2025\10. October\Transat Café l’Or [Oct 26].xlsx
The Nations League 2025 The Nations Trophy,2025,49,Grand Prix,new event,2025\10. October\The Nations League 2025 The Nations Trophy [Oct 8-12].xlsx
Maxi Yacht Rolex Cup_Annual,2025,46,Grand Prix,new event,2026\9. September\Maxi Yacht Rolex Cup_Annual Marketshare.xlsx
Maxi Yacht Rolex Cup_Annual,2024,46,Grand Prix,new event,2026\9. September\Maxi Yacht Rolex Cup_Annual Marketshare.xlsx
Maxi Yacht Rolex Cup_Annual,2026,40,Grand Prix,new event,2026\9. September\Maxi Yacht Rolex Cup_Annual Marketshare.xlsx
Normandy Channel Race 2026,2025,32,Grand Prix,new event,2026\5. May\Normandy Channel Race Marketshare 2026.xlsx
2026 SWAN PORTO RAFAEL CHALLENGE,2026,30,Grand Prix,new event,2026\7. July\2026 SWAN PORTO RAFAEL CHALLENGE.xlsx
Normandy Channel Race 2026,2026,29,Grand Prix,new event,2026\5. May\Normandy Channel Race Marketshare 2026.xlsx
Solitaire du Figaro,2024,24,Grand Prix,new event,August Marketshares 2024\Solitaire du Figaro [Aug 25 - Sep 14].xlsx
SWAN PORTO ROTONDO CHALLENGE,2026,23,Grand Prix,new event,2026\5. May\SWAN PORTO ROTONDO CHALLENGE [May 19 - 23].xlsx
The Nations League 2025 Swan Tuscany Challenge-Swan OD Europeans,2025,23,Grand Prix,new event,2025\9. September\The Nations League 2025 Swan Tuscany Challenge-Swan OD Europeans [Sept 16-20].xlsx
52 Super Series 2026,2026,15,Grand Prix,new event,2026\6. June\52 Super Series 2026.xlsx
Le Defi Azimut,2026,14,Grand Prix,new event,2026\9. September\Le Defi Azimut [Sep 16-21].xlsx
Puerto Portals 52 SUPER SERIES Sailing Week,2025,13,Grand Prix,new event,2025\8. August\Puerto Portals 52 SUPER SERIES Sailing Week [Aug 18-23] .xlsx
Le Defi Azimut,2025,12,Grand Prix,new event,2026\9. September\Le Defi Azimut [Sep 16-21].xlsx
America’s Cup Preliminary,2026,11,Grand Prix,new event,2026\5. May\America’s Cup Preliminary Marketshare.xlsx
RC 44 Class_Marketshares,2026,11,Grand Prix,new event,2026\6. June\RC 44 Class_Marketshares.xlsx
Vendée Arctique – Les Sables d'Olonne (Solo to Arctic Circle),2026,10,Grand Prix,new event,2026\6. June\Vendée Arctique – Les Sables d'Olonne (Solo to Arctic Circle) [June 7].xlsx
