Family,Variant,Boats,SameBoat? (y/n),Note
X-332,X-332,25,,
X-332,X-332 Sport,2,,
X-332,X-332 Mod,1,,
Grand Soleil 43,Grand Soleil 43,13,,
Grand Soleil 43,Grand Soleil 43 B&C,1,,
TP 52,TP 52,12,,
TP 52,TP 52 B&C,1,,
X-37,X-37,11,,
X-37,X-37 Sport,1,,
Grand Soleil 40,Grand Soleil 40,6,,
Grand Soleil 40,Grand Soleil 40 B&C,1,,
Mustang 30,Mustang 30,5,,
Mustang 30,Mustang 30 Mk II,1,,
Mumm 36,Mumm 36,4,,
Mumm 36,Mumm 36 Mod,1,,
Hanse 370,Hanse 370,2,,
Hanse 370,Hanse 370 E,1,,
Impala 28 I/b,Impala 28 I/b Mod,1,,
Impala 28 I/b,Impala 28 I/b,1,,
J 122 GP,J 122 GP E,1,,
J 122 GP,J 122 GP,1,,
Mills 37,Mills 37,1,,
Mills 37,Mills 37 Custom,1,,
Bavaria 40,Bavaria 40 S,1,,
Bavaria 40,Bavaria 40,1,,
Farr 42,Farr 42,1,,
Farr 42,Farr 42 Custom,1,,
