# Cowes Week 2017 - Dragon - Day 8 - 13 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2017&dayrequest=8&classrequest=66/8150
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR791,CHRISTIANNA,,Oliver Morgan,,13:45:44,02:00:44,,,
2,,GBR761,JERBOA,,Gavia Wilkinson-Cox,,13:46:33,02:01:33,,,
3,,GBR777,FURIOUS,,Owen Pay,,13:46:39,02:01:39,,,
4,,GBR763,BERTIE,,Simon Barter,,13:46:46,02:01:46,,,
5,,DGBR782,AIMEE,,Graham Bailey,,13:46:50,02:01:50,,,
6,,GBR585,FULL SPEED,,Martin Payne,,13:47:00,02:02:00,,,
7,,GBR741,CHIME,,Dr Jenny Stutley,,13:47:29,02:02:29,,,
8,,GBR682,ECSTATIC,,Eric Williams,,13:48:08,02:03:08,,,
9,,RUS98,ZENITH,,Igor Goikhberg,,13:48:14,02:03:14,,,
10,,GBR754,FANFARE,,Michael Issaias,,13:48:34,02:03:34,,,
,,GBR764,NAIAD,,Mike Hayles,,,,,,RET
,,GBR727,LA TRAVIATA,,John Mellows,,,,,,DNC
,,GBR816,DREKI,,"Glynn Williams, James Mansell, Andrew Miles, Hattie Mansell",,,,,,DNC
