# Cowes Week 2017 - Fast 40+ - Day 4 - 12 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2017&dayrequest=4&classrequest=29/4262
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR50R,GIRLS ON FILM,,Peter Morton,,13:39:13,03:19:13,,04:13:00,
2,,GBR1851X,INVICTUS,,Sir Keith Mills,,13:44:55,03:24:55,,04:20:15,
3,,SUI19,JUBILEE,,Tony Dickin,,13:46:09,03:26:09,,04:21:12,
4,,GBR1682R,TOKOLOSHE II,,Michael Bartholomew,,13:46:25,03:26:25,,04:21:19,
5,,GBR4242C,ZEPHYR,,Owner Steve Cowie / Skipper Ian Marshall,,13:46:45,03:26:45,,04:21:45,
6,,GBR9463R,PACE,,Johnny Vincent,,13:46:08,03:26:08,,04:21:47,
7,,GER6999,SILVA NEO,,Heinz-Peter Schmidt,,13:48:16,03:28:16,,04:22:00,
8,,NED8809,HITCHHIKER,,Bas de Voogd,,13:46:58,03:26:58,,04:22:38,
9,,GBR8449R,REBELLION,,Stewart Whitehead,,13:47:32,03:27:32,,04:23:09,
10,,GBR4921R,INOXXX,,James Neville,,13:50:31,03:30:31,,04:26:43,
11,,HKG2300,SIGNAL 8,,Jamie McWilliam & Matt Hanning,,13:58:09,03:38:09,,04:31:36,
,,GBR1542R,42 SOUTH,,Mark Rijkse,,,,,,DNC
