# Cowes Week 2017 - First 40 - Day 4 - 13 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2017&dayrequest=4&classrequest=98/4164
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR42N,LA REPONSE,,Andrew McIrvine,,14:39:03,03:49:03,,04:07:22,
2,,GBR7877R,T I L T,,Alex & Andy Moore,,14:41:19,03:51:19,,04:10:03,
3,,GBR4147L,SHADOWFAX,,David Rolfe,,14:44:47,03:54:47,,04:12:52,
4,,GBR3213L,DUSTY P,,Britannia Corporate Events,,14:49:51,03:59:51,,04:18:05,
5,,GBR7951R,KABESTAN SKYLANDER,,Yuri Fadeev,,14:51:58,04:01:58,,04:21:05,
6,,GBR2993L,MINX 3,,Jonathan Gardiner,,14:56:45,04:06:45,,04:25:30,
7,,GBR7408R,SAILING LOGIC ARTHUR,,Sailing Logic,,14:59:15,04:09:15,,04:26:27,
8,,GBR8405R,@TEAMTIGRESS,,Susan Glenny,,14:56:38,04:06:38,,04:27:36,
9,,GBR2806L,BORDIER & CIE (UK),,Britannia Corporate Events Rightmove Plc,,15:02:24,04:12:24,,04:31:05,
10,,GBR6840R,RIGHTMOVE TEAM SPARROW,,Bordier & Cie (UK) Plc,,15:06:28,04:16:28,,04:35:42,
11,,GBR3923L,CLOUDY BAY,,Cloudy Bay,,15:15:11,04:25:11,,04:44:48,
12,,GBR4013R,PYC SAILPLANE,,Muir Watson,,16:30:00,05:40:00,,06:07:32,
,,GBR3234L,RIGHTMOVE TEAM BARBOSSA,,Rightmove Plc,,15:16:21,04:26:21,,04:44:28,NOD
