# Cowes Week 2017 - J/80 - Day 1 - 11 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2017&dayrequest=1&classrequest=78/1270
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR1363,BETTY,,Jon Powell,,14:25:20,03:40:20,,,
2,,GBR165,AQUA J,,Terence O'Neill,,14:27:37,03:42:37,,,
3,,GBR1055,UKSA 3,,Felix Trattner,,14:31:19,03:46:19,,,
4,,GBR743,SWALLOW,,"University of Exeter, R Srn YC Academy",,14:31:28,03:46:28,,,
5,,GBR1262,BOUYSTEROUS,,David Cheesman,,14:31:43,03:46:43,,,
6,,GBR565,BLUES IN J,,Andrew and Michael Edwards,,14:38:20,03:53:20,,,
,,GBR834,JANE,,Barney Dykes,,14:31:26,03:46:26,,,NOD
,,GBR1530,MOCKINGJAY,,Chris Body,,,,,,RET
,,GBR1097,JAMMY,,Charles Bonfield,,,,,,DNC
,,GBR912,SEAFIRE,,Rob Morris,,,,,,DNC
,,GBR43,RSRN YC J80,,Rob Morris,,,,,,DNC
