# Cowes Week 2017 - Mermaid - Day 4 - 15 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2017&dayrequest=4&classrequest=72/4280
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,U8,BLUEBELL,,Noel Dobbs,,15:13:55,02:48:55,,,
2,,U9,SHEEN,,Hugo Mills,,15:17:20,02:52:20,,,
3,,U2,CYNTHIA,,Ben Few-Brown,,15:18:27,02:53:27,,,
4,,U62,ANNABELLE,,William Edwards,,15:18:28,02:53:28,,,
5,,U22,DRAGONFLY,,John Sandiford Haigh,,15:18:33,02:53:33,,,
6,,U6,ROSEMARY,,Matthew Kavenagh,,15:19:27,02:54:27,,,
7,,U13,MIMOSA,,Tom Holbrook,,15:18:16,02:55:00,,,
8,,U10,ADASTRA,,Elizabeth Windridge,,15:20:13,02:55:13,,,
9,,U3,HALLUF,,Helen Birchenough,,15:20:21,02:55:21,,,
10,,U5,JADE,,Guy Mattinson,,15:21:00,02:56:00,,,
11,,U1,SCUTTLE,,Freddie- Russel-Jones,,15:21:43,02:56:43,,,
12,,U7,ZARA,,"Jamie Nimmo, Richard Bowtell, Huw Hallybone",,15:22:36,02:57:36,,,
13,,U12,AMYTHYST,,Michael Smith,,15:24:25,02:59:25,,,
14,,U4,SIRENA,,Mike Bottoms,,15:26:15,03:01:15,,,
,,U11,MIRANDA,,Thomas Youngman,,,,,,RET
