# Cowes Week 2017 - Sportsboat (Div 1) - Day 1 - 10 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2017&dayrequest=1&classrequest=91/1441
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR2688R,JENGA,,Paul Heys,,14:21:30,03:16:30,,03:22:35,
2,,ITA268,ADRIATICA,,Piero Paniccia,,14:11:14,03:06:14,,03:22:48,
3,,GBR8888X,"EAT, SLEEP, J, REPEAT",,Paul Ward,,14:26:17,03:21:17,,03:28:20,
4,,GBR4988R,SABRIEL JR,,Dirk & Dianne van Beek,,14:27:48,03:22:48,,03:29:54,
5,,GBR4448L,RAGING BULL,,Tim Tolcher,,14:30:27,03:25:27,,03:31:12,
6,,GBR8848R,J-DREAM,,David & Kirsty Apthorp,,14:30:48,03:25:48,,03:31:58,
7,,GBR5F280,DIRTY,,Alex Locke,,14:26:43,03:21:43,,03:36:02,
8,,GBR11X,PANDEMONIUM,,Jamie Rankin,,14:24:35,03:19:35,,03:38:09,
,,GER7333,4SALE,,Hans Genthe,,14:26:30,03:21:30,,03:38:50,RDG
,,FRA76,PEGASUS DEKMARX,,Malcolm Wootton,,,,,,DSQ
