# Cowes Week 2017 - Squib - Day 7 - 26 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2017&dayrequest=7&classrequest=75/7450
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,SK626,PANTHER 3,,Alex & Mark Downer,,15:05:40,02:50:40,,,
2,,SK819,LADY PENELOPE,,Malcolm Hutchings & Andy Ramsey,,15:07:01,02:52:01,,,
3,,SK13,AQUABAT,,Stu Rix and Steve Warren-Smith,,15:07:31,02:52:31,,,
4,,SK111,SEVEN,,David Lloyd,,15:11:02,02:56:02,,,
5,,SK828,WHITE MAGIC,,David Wines and Keith Davies,,15:11:31,02:56:31,,,
6,,SK153,ALDEBARAN,,Iain Jones & Peter Jackson,,15:11:34,02:56:34,,,
7,,SK760,SURPRISE,,Duncan Grindley,,15:12:01,02:57:01,,,
8,,SK623,WIZARD,,Christopher & Ben Gibson,,15:12:05,02:57:05,,,
9,,SK787,FLORENCE,,"Shaun Hopkins, Janet Dee",,15:13:18,02:58:18,,,
10,,SK808,OSPREY,,Chris Gear,,15:13:24,02:58:24,,,
11,,SK401,WIGHT TIGER,,"Amy Gaskin, George Downer",,15:13:43,02:58:43,,,
12,,SK708,SATU,,Kev and Marney Gibson,,15:14:40,02:59:40,,,
13,,SK20,BUCCANEER,,Emma Baker & Sam Prime,,15:14:54,02:59:54,,,
14,,SK791,CRAZY DIAMOND,,Joe & Marc Moncrieff,,15:16:28,03:01:28,,,
15,,SK16,SQUIBBO,,Matthew Keely and Ian P.Keely,,15:17:03,03:02:03,,,
16,,SK640,FIRECRACKER TOO,,Andrew Porteous & Jerry Westbrook,,15:18:31,03:03:31,,,
17,,SK526,KACHINA (TEAM FNC),,"Chris Rust, James Vineer",,15:19:45,03:04:45,,,
18,,SK500,HUSSAR,,"Charlie White, Harry White, Thomas White",,15:20:32,03:05:32,,,
19,,SK687,ICARUS,,Philip Russell,,15:21:23,03:06:23,,,
20,,SK50,FIREBIRD FOR SQUIBS,,Stuart,,15:21:50,03:06:50,,,
21,,SK619,SCARAB II,,P Eddis,,15:23:47,03:08:47,,,
22,,SK835,KESTREL,,David Longford & Angi White,,15:26:03,03:11:03,,,
23,,SK777,ALICE,,Royal Victoria Adult Sailors,,15:29:00,03:14:00,,,
24,,SK558,INCOGNITO,,Ian Morgan,,15:35:43,03:20:43,,,
,,SK706,PEREGRIN,,"Sophie Baker,Tamsin Baker,Steve Baker",,,,,,RET
,,SK901,SHY TALK,,Paul Young,,,,,,DNC
