# Cowes Week 2017 - Sunsail Match F40 - Day 4 - 19 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2017&dayrequest=4&classrequest=41/4460
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,4014,CYBERARK,,CyberArk,,14:34:38,02:54:38,,,
2,,4020,TENZING PRIVATE EQUITY,,Tenzing Private Equity,,14:39:26,02:59:26,,,
3,,4019,LENDY,,Zoe Harmer,,14:40:28,03:00:28,,,
4,,4005,COLLINSON GROUP,,Collinson Group,,14:44:17,03:04:17,,,
5,,4007,DELOITTE GREEN,,Deloitte Green,,14:45:25,03:05:25,,,
6,,4030,DELOITTE BLACK,,Deloitte Black,,14:45:49,03:05:49,,,
7,,4003,RED FUNNEL 1,,Red Funnel 1,,14:45:54,03:05:54,,,
8,,4029,DUBAI ROVERS,,Dubai Rovers,,14:46:33,03:06:33,,,
9,,4010,CAZENOVE,,Cazenove,,14:50:43,03:10:43,,,
10,,4004,RED FUNNEL 2,,Red Funnel 2,,14:50:54,03:10:54,,,
11,,4011,DELOITTE WHITE,,Deloitte White,,14:54:31,03:14:31,,,
12,,4025,BELIZE,,Belize,,14:55:02,03:15:02,,,
13,,4018,HOWDEN,,Howden,,15:00:37,03:20:37,,,
14,,4017,ALL THE LADIES,,All the Ladies,,15:02:28,03:22:28,,,
15,,4022,TRAVIS PERKINS,,Travis Perkins,,15:03:56,03:23:56,,,
16,,4013,ST LUCIA LADIES,,St Lucia Ladies,,15:05:20,03:25:20,,,
17,,4026,TEADS.TV 1,,Teads.TV 1,,15:05:40,03:25:40,,,
,,4006,THE ALLIANCE,,The Alliance,,14:38:15,02:58:15,,,OCS
,,4015,CLAIREBUOYANT,,Clairebuoyant,,14:51:40,03:11:40,,,OCS
