# Cowes Week 2019 - Cruiser (Div A) - Day 8 - 11 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2019&dayrequest=8&classrequest=18/8180
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR1414N,TIAKI,,Charles Youngman,,13:21:00,03:01:00,,03:12:57,
2,,GBR7839T,NOTA BENE,,www.lawco.co.uk,,15:33:02,05:13:02,,05:37:46,
,,GBR809,LUTINE PIONEER,,James Close,,,,,,DNC
,,GBR4300,BABY X,,Charles Esse,,,,,,DNC
,,GBR809T,EAGER,,Chris Cecil-Wright,,,,,,DNC
,,GBR1665,DESPERADO,,Richard Loftus,,,,,,DNC
,,NED9070,INDIA,,Emre Derman,,,,,,DNC
,,GBR1471L,INSPIRE,,Gordon Lyon,,,,,,DNC
,,GBR6690R,PANTHER,,James Stableford,,,,,,DNC
,,GBR597R,ITMA,,Thomas Scott,,,,,,DNC
,,GBR946R,RUNAWAY,,Norman Chessman,,,,,,DNC
