# Cowes Week 2019 - Cruiser (Div B) - Day 8 - 12 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2019&dayrequest=8&classrequest=19/8190
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR4946L,FRESHFIELDS,,Freshfields Oarsome Dream,,14:20:31,03:40:31,,03:46:41,
2,,GBR8646,ARCTURUS OF SOUTHAMPTON,,Nigel Gatehouse,,14:56:44,04:16:44,,04:22:54,
,,GBR100X,TIDERACE,,Andrew & Muriel Norton,,,,,,DNC
,,GBR2721L,SOLID AIR,,Richard Strong,,,,,,DNC
,,GBR5457,SUSIMI II,,Michael Carrington,,,,,,DNC
,,GBR2716L,CAPACITY,,Luke Savage,,,,,,DNC
,,GBR2631R,PRECISION/SALTYSAILING,,Salty Sailing,,,,,,DNC
,,GBR9023T,ARCADIAN,,Anne Jackson & Simon Grigg,,,,,,DNC
,,GBR88X,RATATOSK,,Prof Adam Beaumont,,,,,,DNC
,,GBR9034R,MINX 4,,Jonathan Gardiner,,,,,,DNC
,,GBR7477R,FINESSE,,Liam & Dr Colette Hayes-Griffin,,,,,,DNC
,,GBR8314T,DOTTY DOT,,Clive Cutler,,,,,,DNC
