# Cowes Week 2019 - Cruiser (Div C) - Day 6 - 24 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2019&dayrequest=6&classrequest=20/6195
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,FR240,PANDA OF HAMBLE,,Will Smyth & James Barnes,,15:13:43,03:33:43,,03:24:44,
2,,GBR370T,CHATTERBOX,,Simon & Julia Bowes,,15:12:35,03:32:35,,03:27:29,
3,,GBR5037L,SASKIA,,Julian Berney,,15:15:50,03:35:50,,03:28:30,
4,,GBR9453R,DABRA,,Ian Miller,,15:21:56,03:41:56,,03:29:17,
5,,GBR8238T,GLADEYE,,Maj PJR Chishick,,15:12:11,03:32:11,,03:31:20,
6,,GBR7741R,PROSPERO,,Bruce Mauleverer,,15:20:50,03:40:50,,03:33:20,
7,,GBR3811,SEA SHANTY,,David Neville,,15:19:21,03:39:21,,03:36:30,
8,,GBR4812L,SCANDAL,,Nick Hampton,,15:26:29,03:46:29,,03:41:16,
9,,GBR8225T,REACH 4 THE WIND,,Team Reach 4 the Wind,,15:36:20,03:56:20,,03:46:53,
10,,136,SEA SPIRIT,,Chris Kidd,,15:36:06,03:56:06,,03:54:13,
11,,GBR2742L,PREMIER PAPER MODERNISTIC LADY,,Premier Paper Modernistic Lady,,15:44:00,04:04:00,,03:59:22,
11,,GBR2933L,PREMIER PAPER PROTEGE,,Premier Paper Protege,,,,,,
13,,GER7927,VERITAS,,Carl Hentges,,16:34:40,04:54:40,,04:44:04,
14,,GBR4668L,DOUBLE TROUBLE,,Ben Lowes,,16:40:28,05:00:28,,04:51:09,
15,,SWE429,ASASSARA,,Tom Meyler & Ivan Thorley,,17:01:00,05:21:00,,05:05:36,
,,GBR5748T,HAGGIS 2,,Andrew & Rebecca Buchanan,,15:01:54,03:21:54,,03:12:37,OCS
,,GBR1960L,PREM PAPER PAR EXCELLENCE,,Premier Paper Par Excellence,,15:10:09,03:30:09,,03:26:09,NOD
,,GBR4410L,(ONE MORE) MINT JULEP,,David Cule,,,,,,NOD
,,GBR5007T,LITTLE SPIRIT,,Brian Cooper,,,,,,RET
,,GBR1121,CONTEZA,,David Kirkley,,,,,,RET
,,GBR1757T,PHOENIX TOO,,Mark Hammond,,,,,,RET
,,GBR8167R,FLUTE,,Andrew Haining,,,,,,RET
,,GBR9698,ZENITH,,David McDonald,,,,,,DNC
,,GBR2720L,SAPHIR,,Tony Mace,,,,,,DNC
