# Cowes Week 2019 - Daring - Day 7 - 15 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2019&dayrequest=7&classrequest=64/7140
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,DAK3,DAUNTLESS,,"Giles Peckham, Milo Carver, Richard Romer-Lee, Jane Peckham",,12:09:44,01:34:44,,,
2,,DAK23,STREAK,,"Hamish Janson, George Dibben & Malcolm Lofts",,12:12:32,01:37:32,,,
3,,DAK11,DARLING,,"Bob Gatehouse, Robin Pegna, Carron Snagge",,12:13:43,01:38:43,,,
4,,DAK29,DEFENDER,,"Jeremy Preston, Robert Laird, Andrew Armstrong",,12:14:26,01:39:26,,,
5,,DAK21,DIVISION BELLE,,Richard Ottaway,,12:15:17,01:40:17,,,
6,,DAK14,DANCER,,"Kim Orchard, Mary Ganczakowski, Laurence Orchard, Tristan Or",,12:15:40,01:40:40,,,
7,,DAK4,AUDAX,,Roger Marwood & Helen Bulbeck,,12:16:11,01:41:11,,,
8,,DAK9,DYNAMITE,,Acland / Stride / Mathews,,12:16:36,01:41:36,,,
9,,DAK5,DIAMOND,,Mike Fox,,12:18:02,01:43:02,,,
10,,DAK15,DOLPHIN,,"Gower, Clark, Haworth & Tunghan-Jones",,12:18:03,01:43:03,,,
11,,DAK27,DOUBLE KNOT,,John & James Hackman,,12:22:37,01:47:37,,,
12,,DAK24,DERRING~DO,,Peter Scott,,12:23:11,01:48:11,,,
,,DAK30,DARIUS,,George Eddings,,,,,,RET
,,DAK36,DREAMER,,Lavinia Perry,,,,,,DNC
,,DAK37,DEBUTANTE,,James Sumsion,,,,,,DNC
