# Cowes Week 2019 - IRC Class 5A - Day 3 - 20 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2019&dayrequest=3&classrequest=15/3050
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,NED118,WINSOME,,Harry J. Heijst,,16:59:23,03:29:23,,03:27:30,
2,,GBR1250N,ELAINE AGAIN,,Mike Bridges,,17:00:11,03:30:11,,03:32:17,
3,,GBR7899R,JET,,James & John Owen,,17:02:29,03:32:29,,03:35:40,
4,,BEL3537,TONTIN PUPS,,Borghijs Ronsyn,,17:01:39,03:31:39,,03:36:44,
5,,GBR5905R,JOS OF HAMBLE,,Professor Roger Williams,,17:04:50,03:36:59,,03:37:38,
6,,GBR347L,COBRA,,M. Green & P. Thomas,,17:10:46,03:40:46,,03:38:20,
7,,GBR979R,MALICE,,Mike Moxley,,17:05:37,03:35:37,,03:40:09,
8,,GBR954R,ACHERON,,Chris Masterson,,17:06:09,03:36:09,,03:40:41,
9,,GBR9L,SUNSHINE,,Malcolm Roberts,,17:07:36,03:37:36,,03:40:52,
10,,GBR4988R,SABRIEL JR,,Dianne & Dirk van Beek,,17:08:13,03:38:13,,03:43:53,
11,,GBR6965T,MUSK-OX,,Neville Devonport,,17:14:28,03:44:28,,03:44:15,
12,,GBR1352R,NO CHANCE,,Chris Panting,,17:10:59,03:40:59,,03:46:30,
13,,IRL8071,INTENSE,,Lizzie & Molly Brown,,17:14:03,03:44:03,,03:46:31,
14,,GBR6834R,ALAMARA IV,,Ole Bettum,,17:13:00,03:43:00,,03:47:54,
15,,GBR960R,HOT RATS,,Robbie & Lis Robinson,,17:17:52,03:47:52,,03:49:14,
16,,GBR958R,JANGADA,,Richard Palmer,,17:19:01,03:49:01,,03:51:05,
17,,GBR4837L,FULL CHAT,,Tristan Kemp,,17:25:26,03:55:26,,03:52:51,
18,,GBR1132L,ALARIS,,Jamie Dean Brown,,17:25:20,03:55:20,,03:54:52,
19,,GBR2904L,HOT PURSUIT,,Richard Lewis,,17:27:04,03:57:04,,03:57:18,
20,,GBR6908R,AJAX,,The Royal Lancers' Sailing Team,,17:29:25,03:59:25,,04:01:06,
