# Cowes Week 2019 - IRC Class 5B - Day 5 - 10 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2019&dayrequest=5&classrequest=85/5051
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR9202R,NIGHTJAR,,"Banks, Overstall & Searle",,13:33:19,02:43:19,,02:37:16,
2,,GBR5189T,J'RONIMO,,David Greenhalgh,,13:33:28,02:43:28,,02:37:25,
3,,GBR97L,JAYWALKER,,Bob and Jon Baker,,13:31:38,02:41:38,,02:37:45,
4,,GBR585T,2XS,,Aindriu McCormack,,13:33:27,02:43:27,,02:37:54,
5,,GBR6455R,FRANK 3,,Olly & Sam Love,,13:34:39,02:44:39,,02:38:14,
6,,GBR9292C,SAMURAI J,,Andy Knowles & Alan Macleod,,13:36:50,02:46:50,,02:41:20,
7,,GBR2947L,JACKDAW,,Rob Salter & Friends,,13:39:48,02:51:30,,02:43:57,
8,,GBR3965R,JUMBLESAIL 2,,"Rachel, Robert & David Hunt",,13:40:18,02:50:18,,02:45:22,
9,,GBR9298R,BLUE DIAMOND DODJER,,Brian Malone,,13:47:13,02:57:13,,02:51:01,
10,,GBR8396,SAM,,"Peter Hopps, Hilary Cook & Serena Alexander",,13:45:53,02:55:53,,02:51:19,
