# Cowes Week 2019 - RS Elite - Day 3 - 11 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2019&dayrequest=3&classrequest=77/3370
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR67,MORE T'VICAR,,"Cam, Elliot, Tom",,16:02:10,02:37:10,,,
2,,GBR110,LEGS ELEVEN,,Paul Fisk,,16:07:25,02:42:25,,,
3,,GBR101,CENTURION,,Jamie Berry & Robert Holbrook,,16:08:58,02:43:58,,,
4,,GBR109,RIGHT TIME TOO,,Phil Wright,,16:10:45,02:45:45,,,
5,,GBR46,THE DOCTOR,,Peter Copsey,,16:11:13,02:46:13,,,
6,,40,BASIL,,"A Lunch, A Reid & J Houghton",,16:12:29,02:47:29,,,
7,,26,SWAN SONG,,Paul Crean,,16:12:30,02:47:30,,,
8,,GBR100,SOAK THERAPY,,Charlie & Julia Egerton-Warburton,,16:14:25,02:49:25,,,
9,,94,MOMENTARY LAPS,,Malcolm Le May,,16:16:49,02:51:49,,,
,,GBR22,EXCALIBUR,,Marc Giraudon,,,,,,RET
,,GBR89,TAMBOURINE,,Willem Vinke,,,,,,DNF
