# Cowes Week 2021 - Club Cruiser - Day 2 - 19 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2021&dayrequest=2&classrequest=34/2134
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR4944R,AQUA  (USHAKA),,Mark Attrill,,14:01:45,02:16:45,,02:05:24,
2,,GBR4164L,CHAMELEON OF COWES,,Louis Kenna,,13:55:46,02:10:46,,02:07:38,
3,,FR240,PANDA OF HAMBLE,,Barnes & Smyth,,13:59:54,02:14:54,,02:09:14,
4,,GBR1647L,PANORAMA,,Nick Munday,,13:56:20,02:11:20,,02:11:12,
5,,GBR2326,FLEUR DE LIS,,Fleur de Lis,,14:01:01,02:16:01,,02:13:26,
6,,GBR3554L,ILLUSIONIST,,Darren Longley,,14:22:43,02:37:43,,02:25:44,
7,,GBR2364L,EMOYENI,,David Smith,,14:26:45,02:41:45,,02:26:42,
8,,GBR4053L,MANDALAY,,Kate Watkins,,14:17:36,02:32:36,,02:28:29,
9,,GBR9478R,MOONWOLF,,Steve Reeves,,14:30:32,02:45:32,,02:33:37,
10,,GBR2631R,PRECISION,,Salty Sailing  - Precision,,14:20:10,02:35:10,,02:35:57,
11,,GBR2742L,MODERNISTIC LADY,,Tom Rose,,14:24:21,02:39:21,,02:36:19,
12,,GBR8834R,TIKA,,David Sturdee,,14:29:47,02:44:47,,02:38:51,
13,,GBR7299T,FANTASIA,,Charlie & Jo Field,,14:28:50,02:43:50,,02:39:05,
14,,GBR175,PHOENIX TOO,,Hammond,,14:34:27,02:49:27,,02:42:50,
15,,GBR2935L,VIS A VIS,,Simon Tottman,,14:39:51,02:54:51,,02:51:32,
16,,77,FIFA,,J V Fraser,,15:13:12,03:28:12,,02:56:46,
17,,3735L,SILENTIA,,Knowall IT www.knowall.net,,15:10:42,03:25:42,,03:22:37,
,,GBR8680T,CANBERRA STAR,,Matthew Lunt,,,,,,DNC
,,GBR3321L,MON DILEMME,,David McDonald,,,,,,DNC
