# Cowes Week 2021 - Etchells - Day 5 - 11 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2021&dayrequest=5&classrequest=65/6160
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR1417,CHINA WIGHT,,Nick Stagg,,16:50:44,01:25:44,,,
2,,GBR1437,EXABYTE,,Shaun & Emily Frohlich,,16:51:58,01:26:58,,,
3,,GBR1439,ROCKETMAN,,Rob Goddard,,16:52:37,01:27:37,,,
4,,05,SUMO,,Anthony Parke,,16:53:03,01:28:03,,,
5,,GBR1351,AUDREY,,Jon Warwick & Will Bedford,,16:53:09,01:28:09,,,
6,,GBR927,SHAMAL,,"Ines Pont Sanchis, Tiarnan Finney, Rory Rose, Ellen Morley",,16:53:27,01:28:27,,,
7,,GBR1194,MANO,,MANO,,16:54:01,01:29:01,,,
8,,GBR1271,ZIGGY,,Andrew Wishart,,16:55:18,01:30:18,,,
,,GBR782,PULSE,,Jake Hardman,,,,,,DNC
,,GBR1014,PALAVER,,Greig City Academy,,,,,,DNC
,,GBR1407,ICE,,Andrew Cooper,,,,,,DNC
