# Cowes Week 2021 - Etchells (Race 3) - Day 2 - 13 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2021&dayrequest=2&classrequest=65/3160
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR1351,AUDREY,,Jon Warwick & Will Bedford,,14:16:37,00:56:37,,,
2,,GBR1417,CHINA WIGHT,,Nick Stagg,,14:17:18,00:57:18,,,
3,,GBR1439,ROCKETMAN,,Rob Goddard,,14:17:24,00:57:24,,,
4,,GBR782,PULSE,,Jake Hardman,,14:17:33,00:57:33,,,
5,,05,SUMO,,Anthony Parke,,14:17:55,00:57:55,,,
6,,GBR1194,MANO,,MANO,,14:18:24,00:58:24,,,
7,,GBR1352,JOLLY ROGER,,"Tom Abrey, Matt Hannaby, Bruni Van-Dyke",,14:18:27,00:58:27,,,
8,,GBR1437,EXABYTE,,Shaun & Emily Frohlich,,14:18:28,00:58:28,,,
9,,GBR1271,ZIGGY,,Andrew Wishart,,14:18:43,00:58:43,,,
10,,GBR927,SHAMAL,,"Ines Pont Sanchis, Tiarnan Finney, Rory Rose, Ellen Morley",,14:18:54,00:58:54,,,
11,,GBR108,PENSIVE TEMPTRESS,,,,14:23:54,01:03:54,,,
,,GBR1014,PALAVER,,Greig City Academy,,,,,,NOD
,,GBR1407,ICE,,Andrew Cooper,,,,,,RET
