# Cowes Week 2021 - Performance Cruiser B - Day 3 - 11 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2021&dayrequest=3&classrequest=20/3190
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR7041R,ANTICIPATION,,Pete Newlands,,14:06:43,02:56:43,,03:01:29,
2,,GBR7001T,CHALLENGER,,Adam Ridett and Phil Moore,,14:11:01,03:01:01,,03:06:49,
3,,GBR2721L,SOLID AIR,,Richard Strong,,14:21:36,03:11:36,,03:18:30,
4,,GBR9023T,ARCADIAN,,Anne Jackson and Simon Grigg,,14:25:45,03:15:45,,03:20:50,
5,,GBR2344L,SALT,,Gareth & Emma Jordan,,14:24:46,03:14:46,,03:23:32,
6,,GBR5367L,SEASALT,,Simon & Julia Bowes,,14:29:29,03:19:29,,03:26:16,
7,,GBR4110L,KISWALA,,Helena Boschi,,14:37:46,03:27:46,,03:31:18,
8,,GBR8238T,GLADEYE,,Maj PJR Chishick,,14:36:26,03:26:26,,03:31:23,
9,,GBR88X,RATATOSK,,Adam Beaumont,,14:44:29,03:34:29,,03:41:08,
10,,GBR6070L,SCARAMOUCHE,,Amanda Mochrie,,15:16:44,04:06:44,,04:12:10,
,,GBR3891L,SKYFALL,,Matt Hunt,,,,,,NOD
