# Cowes Week 2021 - Quarter Ton - Day 6 - 10 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2021&dayrequest=6&classrequest=33/7340
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,FRA8051,BLT,,Sam Laidlaw,,13:04:08,02:09:08,,01:57:23,
2,,FRA7891,BULLIT,,Julian Metherell,,13:07:14,02:12:14,,01:59:56,
3,,GBR7775,BULLET,,Louise Morton,,13:09:27,02:14:27,,02:02:05,
4,,GBR953R,BELINDA,,Tom Hill,,13:14:53,02:19:53,,02:07:18,
5,,ESP3090,COTE,,Kai Hockley,,13:16:03,02:21:03,,02:07:31,
6,,GBR7447R,PACIFIST,,Duncan Peace,,13:18:18,02:23:18,,02:09:50,
7,,GBR1479R,FLASHHEART,,Jeffrey Dakin & George Webb,,13:22:46,02:27:46,,02:11:48,
8,,GBR8788R,THESEUS,,Jim Prower,,13:21:22,02:26:22,,02:12:28,
,,GBR222R,PER ELISA,,N Dowling,,,,,,DNC
,,GBR9838T,RAGTIME 2,,Paul Wells,,,,,,DNC
