# Cowes Week 2022 - Cape 31 - Day 1 - 18 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2022&dayrequest=1&classrequest=35/1197
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR3113X,HARLEQUIN,,Jonathan Goodwin,,14:29:37,03:19:37,,,
2,,GBR311X,SQUIRT,,Russell Peters & Family,,14:29:54,03:19:54,,,
3,,USA61567,FLYING JENNY,,Sandra Askew,,14:30:41,03:20:41,,,
4,,GBR3116X,THE BODFATHER,,Charlie Whelan,,14:30:58,03:20:58,,,
5,,GBR314X,KATABATIC,,Lance Adams,,14:31:18,03:21:18,,,
6,,GBR3118X,JOLT,,Tilly Harrison,,14:32:06,03:22:06,,,
7,,GBR3114X,SHOTGUNN,,Vince Hayter & Michael Wilson,,14:32:42,03:22:42,,,
8,,GBR318X,FANATIC,,Johnny Cooper,,14:33:08,03:23:08,,,
9,,GBR315X,JIRAFFE,,Simon Perry,,14:33:46,03:23:46,,,
10,,GBR319X,SARDONYX X,,William Edwards,,14:32:14,03:24:15,,,
11,,IRL31031,ADRENALINE,,Michael Wright & Darren Wright,,14:34:54,03:24:54,,,
12,,GBR3117X,FLURG,,David Cummins,,14:35:01,03:25:01,,,
13,,GBR317X,SHORT ECHO,,Barry Sampson & Nick Blevins,,14:44:54,03:34:54,,,
,,GBR312X,TOKOLOSHE IV,,David Bartholomew,,14:26:34,03:16:34,,,OCS
,,GBR316X,NIFTY,,Roger Bowden,,14:30:05,03:20:05,,,OCS
,,GBR5R,GELERT,,James Howells,,14:34:26,03:24:26,,,OCS
,,GBR3112X,ARABELLA,,Niall & Olivia Dowling,,,,,,OCS
,,GBR3110X,JUBILEE,,Tony Dickin,,,,,,RET
