# Cowes Week 2022 - Club Cruiser White - Day 2 - 10 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2022&dayrequest=2&classrequest=34/2134
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,FR240,PANDA OF HAMBLE,,Ian Smyth & James Barnes,,14:16:37,02:36:37,,02:30:02,
2,,GBR4944R,AQUA (USHAKA),,Mark Attrill,,14:25:49,02:45:49,,02:32:03,
3,,GER7927,VERITAS,,Carl Hentges,,14:19:15,02:39:15,,02:33:31,
4,,GBR3554L,ILLUSIONIST,,Darren Longley,,14:27:47,02:47:47,,02:35:02,
5,,GBR2364L,EMOYENI,,David Smith,,14:47:06,03:07:06,,02:49:53,
6,,GBR8225T,REACH 4 THE WIND,,Team Reach 4 the Wind,,14:38:21,02:58:21,,02:51:13,
7,,GBR1757,PHOENIX TOO,,Mark Hammond,,14:38:30,02:58:30,,02:51:32,
8,,GBR7980Y,ECLIPSE,,Alfie Agar,,14:57:59,03:17:59,,03:10:28,
9,,GBR14741,C- LION,,Paul Ryan,,15:36:29,03:56:29,,03:47:58,
,,GBR4891T,ENCOUNTER,,Charles Lucas-Clements,,,,,,RET
