# Cowes Week 2022 - IRC Class 2 - Day 1 - 16 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2022&dayrequest=1&classrequest=12/1020
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR4863R,YES!,,Adam Gosling,,14:42:25,03:27:25,,03:39:39,
2,,GBR22118,LEON,,David Franks,,14:46:04,03:31:04,,03:41:12,
3,,GBR4070L,INCOGNITO,,Paul McNamara,,14:46:49,03:31:49,,03:41:34,
4,,GBR1428R,ROGAN JOSH,,Richard Powell,,14:47:14,03:32:14,,03:46:53,
5,,GBR7727T,MUSKETEER,,"Richards, Ewart-Smith, Dallas & Wilson",,14:56:54,03:41:54,,03:48:33,
6,,SWE450,EMILY OF COWES,,Team Emily:  www.emilyofcowes.com,,14:57:52,03:42:52,,03:52:27,
7,,GBR7877R,T I L T,,Alex & Andy Moore,,14:51:24,03:36:24,,03:53:56,
8,,FRA43749,NUTMEG VI,,Francois Lognone,,14:56:02,03:41:02,,03:54:18,
9,,GBR6840R,EUROTANK,,J.P.Morgan,,14:59:13,03:44:13,,04:00:08,
10,,GBR8405R,OLYMPIA'S TIGRESS,,Susan Glenny,,15:00:51,03:45:51,,04:03:28,
11,,GBR7951R,SKYLANDER,,Yuri Fadeev,,15:11:24,03:56:24,,04:14:08,
12,,GBR7408R,ARTHUR,,Sailing Logic,,15:19:30,04:04:30,,04:20:38,
13,,GBR1815X,FUJITSU BRITISH SOLDIER,,William Naylor,,15:28:12,04:13:12,,04:24:51,
14,,GBR1321L,ESCAPADO,,Germaine Williams,,16:33:00,05:18:00,,05:30:43,
,,GBR486,SLEEPER X,,Jonty & Vicki Layfield,,,,,,RET
,,GBR2806L,WINSTON,,Winston,,,,,,RET
