# Cowes Week 2022 - J/70 (Race10) - Day 4 - 32 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2022&dayrequest=4&classrequest=80/10265
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,AUS1668,CELESTIAL,,Sam Haynes,,11:04:50,00:34:50,,,
2,,AUS1667,VAMOS,,Tim Ryan,,11:05:04,00:35:04,,,
3,,GBR12,LITTLE J,,"Max Clapp, Mathieu Cadei, Horatio Sykes & Felix Trattner",,11:05:11,00:35:11,,,
4,,GBR1572,BRUTUS,,Sam Carter,,11:06:36,00:36:36,,,
5,,GBR737,VALKYRIE,,Alex Mills,,11:06:37,00:36:37,,,
6,,GBR937,POWDER MONKEY,,Ian Poynton,,11:06:38,00:36:38,,,
7,,GBR1591,DADS 'N' LADS,,"Ole Bettum,Tim Simpson, Markus Bettum & Hector Simpson",,11:06:48,00:36:48,,,
8,,GBR1051,ESCAPE,,Ray Mitchell,,11:06:51,00:36:51,,,
8,,GBR1170,GEISHA,,Lutz Strangemann,,11:06:51,00:36:51,,,
10,,GBR972,YETI,,Jack Davies,,11:07:06,00:37:06,,,
11,,GBR739,SCEPTRE,,Ali Hall (Sat-Tues)  & David Chaplin (Wed-Fri),,11:07:15,00:37:15,,,
12,,GBR127,EXCESS,,Ceci Wollmann,,11:07:29,00:37:29,,,
13,,GBR1206,OFFBEAT,,David McLeman,,11:07:33,00:37:33,,,
14,,GBR290,JENGA8,,Andrew Barraclough,,11:08:03,00:38:03,,,
15,,GBR1573,JELVIS,,Martin Dent,,11:08:15,00:38:15,,,
16,,GBR741,COSMIC,,Patrick Liardet,,11:08:29,00:38:29,,,
17,,GBR1127,BOYSTEROUS,,Annabelle Body,,11:08:53,00:38:53,,,
18,,GBR1384,PANTHER,,Panther,,11:08:57,00:38:57,,,
19,,GBR738,ENDEAVOUR,,Bruce Grant,,11:09:10,00:39:10,,,
20,,GBR747,SULIAMAN,,Jon Redding,,11:09:13,00:39:13,,,
21,,GBR735,AURORA,,Thomas Preston,,11:09:42,00:39:42,,,
22,,GBR744,RTYC ACADEMY,,Dom Lewis,,11:09:47,00:39:47,,,
23,,GBR800,JACKATOO,,Rob Orr,,11:10:09,00:40:09,,,
24,,GBR746,JIANT PEACH,,James Hackman,,11:10:20,00:40:20,,,
25,,GBR742,ZESTY,,Isabel Scruby,,11:10:25,00:40:25,,,
26,,GBR745,RTYC 4,,Guy Lawrence & Fenella Neill,,11:11:24,00:41:24,,,
27,,GBR736,GENESTA,,The Bennett Family,,11:14:23,00:44:23,,,
28,,GBR743,RTYC 2,,Trinny Fry,,11:15:25,00:45:25,,,
,,GBR1203,CHAOTIC,,Nick Phillips,,,,,,NOD
,,GBR264,JELLYFISH,,Finley Dickinson,,,,,,NOD
,,GBR1169,JEEPSTER,,Graham Clapp,,,,,,RET
,,GBR740,RITA,,Christopher Daniel & Tor McLaren,,,,,,RET
