# Cowes Week 2022 - Performance Cruiser A - Day 1 - 10 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2022&dayrequest=1&classrequest=19/1180
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR4300X,BABY X,,Charles Esse,,14:40:14,03:10:14,,03:21:16,
2,,GBR1665,DESPERADO,,Richard Loftus,,14:36:28,03:06:28,,03:29:02,
3,,GBR4778R,EH01,,Global Yacht Racing,,14:45:18,03:15:18,,03:30:32,
4,,GBR4570L,ALCIBIADES 111,,Chris Parker QC,,14:54:46,03:24:46,,03:35:13,
5,,GBR809,LUTINE,,Lloyds Yacht Club,,14:39:01,03:09:01,,03:35:51,
6,,GBR69R,COCO DE MER,,Jonathan Butler,,14:44:07,03:14:07,,03:42:27,
7,,GBR1414N,TIAKI,,Charles Youngman,,15:00:20,03:30:20,,03:44:13,
8,,GBR4360X,XOXO,,Richard Hutchings,,15:09:28,03:39:28,,03:51:59,
,,GBR8248,INCISOR,,Derek  still going strong Saunders,,,,,,NOD
,,GBR6895R,XCITABLE TOO,,Peter & Sarah Hodgkinson,,,,,,RET
