# Cowes Week 2022 - Redwing (Race 2) - Day 1 - 26 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2022&dayrequest=1&classrequest=68/2350
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,R46,ENIGMA,,Mark Downer &  Family,,14:08:06,00:46:06,,,
2,,R1,PAROQUET,,Rory Morrison & Family,,14:09:18,00:47:18,,,
3,,R24,RED GAUNTLET II,,"Annie, Joe & Bel Robertson",,14:09:19,00:47:19,,,
4,,R30,QUAIL,,James Wilson,,14:09:23,00:47:23,,,
5,,R47,MUSICUS,,David & Andrew McCue,,14:10:03,00:48:03,,,
6,,R113,REDWITCH,,Henry & Roderick Thorpe,,14:10:19,00:48:19,,,
7,,R8,CAPELLA II,,Hugo Cuddigan,,14:10:37,00:48:37,,,
8,,R35,BIZARRE,,Tim Wakefield,,14:10:48,00:48:48,,,
9,,R15,IBIS,,Thomas Scott,,14:10:52,00:48:52,,,
10,,R2,AVOCET,,"Michael & Rupert MacInnes, Alastair & Jessica Speare-Cole",,14:10:39,00:49:08,,,
11,,R4,ROSETTA,,James Tate,,14:10:46,00:49:15,,,
12,,R105,SNOWGOOSE,,Heather Culpan,,14:11:36,00:49:36,,,
13,,R32,LADY LAETITIA,,Willie Clegg,,14:11:38,00:49:38,,,
14,,R45,GOSLING,,Serena Gosling,,14:11:42,00:49:42,,,
15,,R21,REDWING,,"Olav Cole, Paul Lacy-Smith & Lieutenant Colonel Nick Woolgar",,14:11:58,00:49:58,,,
16,,R6,BLUE JAY,,Richard Jessel,,14:12:02,00:50:02,,,
17,,R40,PLOVER,,Andrew & Edward Eddy,,14:12:19,00:50:19,,,
18,,R41,QUINTESSENCE,,Robin Ebsworth,,14:12:24,00:50:24,,,
19,,R13,TARPON,,Dominic Samuelson,,14:12:40,00:50:40,,,
20,,R5,SNOWGOOSE II,,"Charles, Nainby-Luxmoore & Alex Andreae & Lucas Barrow",,14:12:43,00:50:43,,,
21,,R110,FORTUNA,,Tory Barlow,,14:13:30,00:51:30,,,
22,,R103,PRAWN II,,Malcolm Bentley,,14:13:05,00:51:36,,,
23,,R27,FLYCATCHER,,Nicholas Fairfax,,14:14:49,00:52:49,,,
24,,R20,TARA,,Mike Toogood,,14:15:16,00:53:16,,,
,,R18,HARLEQUIN,,John Raymond & Matt Alexander,,,,,,RET
,,R37,GANNET,,Bella Janson,,,,,,RET
