# Cowes Week 2022 - SB20 (Race 8) - Day 3 - 12 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2022&dayrequest=3&classrequest=63/8390
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR3814,XCELLENT,,John Pollard,,16:22:19,00:37:19,,,
2,,GBR3531,CARNAGE,,"Matt Williams, Chris Williams & Robin Kirby",,16:23:44,00:38:44,,,
3,,GBR3816,TAN GWYLLT,,Phil Tilley,,16:24:08,00:39:08,,,
4,,GBR3010,PEPPERAMI,,Grumpy Men,,16:24:16,00:39:16,,,
5,,GBR3276,TROUBLE & STRIFE,,Radley College,,16:24:45,00:39:45,,,
6,,GBR3149,YALLA SHAMAL!,,Rachel Blackburn,,16:25:01,00:40:01,,,
7,,GBR3821,SPORTSBOAT WORLD RACING,,SportsBoatWorld Racing,,16:25:15,00:40:15,,,
8,,GBR3584,BOOMERANG,,Lizzie Farrington,,16:25:10,00:41:22,,,
9,,GBR3556,OUYC,,"Huw Edwards, Rory Fleminger & Elen Morely",,16:26:50,00:41:50,,,
10,,GBR3807,SAIL NAVY,,RNSA skippered by Lawrence Hodgkinson,,16:27:04,00:42:04,,,
,,GBR3758,AMICA,,Paddy Whelan,,,,,,RET
,,GBR3095,MUTTS NUTS,,Mark Brammer,,,,,,DNC
