# Cowes Week 2022 - Sunsail F41.0 - Day 5 - 11 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2022&dayrequest=5&classrequest=41/5460
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR4106X,DON'T PANIK,,Don't Panik,,13:31:59,02:01:59,,,
2,,GBR4103X,DELOITTE,,Deloitte,,13:35:24,02:05:24,,,
3,,GBR4114X,TENZING,,Tenzing,,13:38:03,02:08:03,,,
4,,GBR4107X,HOLLIS 2,,Hollis 2,,13:40:20,02:10:20,,,
5,,GBR4101X,DUBAI INTERNATIONAL,,Dubai International,,13:40:34,02:10:34,,,
6,,GBR4110X,SUNSAIL SOLARIS,,Sunsail Solaris,,13:41:27,02:11:27,,,
7,,GBR4105X,HOLLIS 1,,Hollis 1,,13:43:21,02:13:21,,,
8,,GBR4112X,COLLINSON GROUP,,Collinson Group,,13:45:06,02:15:06,,,
9,,GBR4104X,YELLOW V PADDLEBOARDS,,Yellow V Paddleboards,,13:51:24,02:21:24,,,
10,,GBR4102X,CALIFORNIA LUFFIN,,California Luffin',,13:56:51,02:26:51,,,
11,,GBR4111X,HOWDEN,,Howden,,13:58:32,02:28:32,,,
