# Cowes Week 2023 - Cape 31 (Race 1) - Day 1 - 24 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2023&dayrequest=1&classrequest=35/1197
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,USA61567,FLYING JENNY,,Sandra Askew,,12:16:23,01:46:23,,,
2,,GBR8X,CHAOTIC,,Nick Phillips,,12:16:34,01:46:34,,,
3,,GBR3112X,ARABELLA,,Naill Dowling,,12:17:03,01:47:03,,,
4,,GBR3110X,JUBILEE,,Tony Dickin,,12:17:53,01:47:53,,,
5,,RSA31,TOKOLOSHE 4,,David Bartholomew,,12:17:56,01:47:56,,,
6,,NED3138,MOTIONS,,Team Motions,,12:18:02,01:48:02,,,
7,,IRL3128,ANTIX,,Anthony O'Leary,,12:18:17,01:48:17,,,
8,,GBR315X,JIRAFFE,,Simon Perry,,12:18:22,01:48:22,,,
9,,GBR86R,FARGO,,Bertie Bicket,,12:18:35,01:48:35,,,
10,,GBR5R,GELERT,,James Howells,,12:18:54,01:48:54,,,
11,,GBR3114X,SHOT GUNN,,Michael Wilson,,12:19:06,01:49:06,,,
12,,GER3156,LA PERICOLOSA,,La Pericolosa,,12:19:31,01:49:31,,,
13,,GBR314X,KATABATIC,,Lance Adams,,12:19:42,01:49:42,,,
14,,IRL31031,ADRENALINE,,Michael & Darren Wright,,12:20:43,01:50:43,,,
15,,GBR316X,NIFTY,,Roger Bowden,,12:21:48,01:51:48,,,
16,,GBR7891X,BULLIT,,Julian Metherell,,12:22:22,01:52:22,,,
17,,GBR317X,SHORT ECHO,,Andy FitzGerald & Nick Blevins,,12:22:28,01:52:28,,,
18,,GBR313X,GALLIVANTER,,Tor McLaren,,12:22:32,01:52:32,,,
19,,GBR3116X,THE BODFATHER,,Charlie Whelan,,12:22:37,01:52:37,,,
20,,ROU1001,ESSENTIA,,Catalin Trandafir,,12:23:22,01:53:22,,,
21,,FRA3151,TEAM VISION HIGHLANDER,,Jean Jacques Chaubard,,12:23:24,01:53:24,,,
22,,GBR3153X,AKHEILOS,,Ben Pritchard,,12:23:37,01:53:37,,,
23,,GBR3412,KHUMBU 2,,Christian Hamilton,,12:24:03,01:54:03,,,
24,,GBR3119X,SQUIRREL,,Chris & Laura Anstead,,12:26:32,01:56:32,,,
