# Cowes Week 2023 - Sunsail 41 - Day 3 - 10 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2023&dayrequest=3&classrequest=41/3460
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR4110X,SUNSAIL SOLARIS,,California Luffin',,14:58:20,02:43:20,,,
2,,GBR4109X,SOUTHAMPTON SAILING WEEK,,Southampton Sailing Week,,15:02:00,02:47:00,,,
3,,GBR4105X,RAYMARINE SIMPLY SUPERIOR,,Don't Panik,,15:01:15,02:47:55,,,
4,,GBR4101X,MERMAID SPIRIT,,Mermaid Spirit,,15:03:12,02:48:12,,,
5,,GBR4102X,THE MAGENTA PROJECT,,Collinson Group,,15:07:16,02:52:16,,,
6,,GBR4106X,SUNSAIL ZEPHYR,,Deloitte,,15:07:33,02:52:33,,,
7,,GBR4107X,HYDE SAILS,,Hong Kong Phoeys,,15:09:24,02:54:24,,,
8,,GBR4111X,MARLOW ROPES,,Marlow Ropes,,15:48:48,03:33:48,,,
,,GBR4112X,RED PENGUIN,,Red Penguin,,,,,,RET
,,GBR4103X,THE YACHTMARKET.COM,,The Yachtmarket.com,,,,,,RET
