# Cowes Week 2023 - Victory - Day 4 - 11 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2023&dayrequest=4&classrequest=76/4480
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,Z78,ZIVA,,Jim Downing,,15:00:07,02:45:07,,,
2,,Z69,ZINNIA,,Team Scammell,,15:00:35,02:45:35,,,
3,,Z74,PEREGRINE,,TEAM PEREGRINE,,15:01:56,02:46:56,,,
4,,Z80,SHEARWATER II,,Russell Mead & Darren Ballard,,15:02:24,02:47:24,,,
5,,Z75,ZILCH,,"Nick Benham, Ian Perryman & Clive Good",,15:02:54,02:47:54,,,
6,,Z54,ZELIA,,Mr & Mrs Geoff Dixon,,15:04:10,02:49:10,,,
7,,Z67,ZIRCON,,James Jopling & Mark Briggs,,15:08:54,02:53:54,,,
8,,Z77,PELICAN,,Hugh Pringle,,15:09:55,02:54:55,,,
,,Z70,UNITY,,Matt Salt & Marie-Claire Sothcott,,,,,,RET
,,Z73,SEAGULL,,Jim Page,,,,,,RET
,,Z9,DOLPHIN,,Matt & Claire Downing,,,,,,DNC
