# Cowes Week 2024 - J/70 (Race 3) - Day 1 - 30 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2024&dayrequest=1&classrequest=80/3265
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR1573,JELVIS,,Martin Dent,,15:57:24,00:42:24,,,
2,,1496,STANDFAST,,Simon Patterson,,15:57:41,00:42:41,,,
3,,GBR1203,SARDONYX,,"William Edwards, Ian Dobson",,15:58:44,00:43:44,,,
4,,GBR1591,DADS N LADS,,Tim Simpson & Ole Bettum,,15:59:06,00:44:06,,,
5,,GBR827,JEEPSTER,,Mathieu Cadei & Horatio Sykes,,15:59:51,00:44:51,,,
6,,830,POWERHOUSE,,Bertie Fisher,,16:00:01,00:45:01,,,
7,,GBR741,JACAMAR,,"Isabel Massey, Tom Massey, Fred Langhorne, Honor Langhorne &",,16:00:27,00:45:27,,,
8,,744,ELIZABETH,,Jemima Lawson,,16:00:31,00:45:31,,,
9,,GBR290,JENGA8,,Andrew Barraclough,,16:01:11,00:46:11,,,
10,,743,RTYC 2,,Krystal Law,,16:01:39,00:46:39,,,
11,,GBR1206,OFFBEAT,,David McLeman,,16:01:59,00:46:59,,,
12,,GBR1205,JOSKIN,,Henry Edwards,,16:02:06,00:47:06,,,
13,,GBR118,WOOF!,,"Richard Powell, Tara Gillespie, Paola Amar, Ollie Vines",,16:02:11,00:47:11,,,
14,,GBR937,POWDER MONKEY,,Ian Poynton,,16:02:14,00:47:14,,,
15,,GBR1051,ESCAPE,,Giles Chipperfield,,16:02:19,00:47:19,,,
16,,GBR738,PLUS DU RHUM,,Malcolm Glaister,,16:02:33,00:47:33,,,
17,,737,VALKYRIE,,Tom Preston,,16:02:40,00:47:40,,,
18,,GBR108,SPENCER,,Nick Griffith,,16:02:41,00:47:41,,,
19,,GBR972,JIRAFFE,,Simon Perry,,16:02:44,00:47:44,,,
20,,GBR1381,LIGHTFOOT,,Royal Southern Youth Team Red,,16:02:57,00:47:57,,,
21,,GBR735,AURORA,,Jeremy Bennett,,16:03:30,00:48:30,,,
22,,GBR736,GENESTA,,Bruce Grant,,16:03:34,00:48:34,,,
23,,IRL1123,EXCESS,,Royal Southern Youth Team Green,,16:03:48,00:48:48,,,
24,,739,SCEPTRE,,Christopher Daniel,,16:05:06,00:50:06,,,
25,,GBR747,JIANT JUMBO PEACH,,James Hackman & Tom Dykes,,16:05:10,00:50:10,,,
26,,GBR740,RITA,,Barney Dykes and Tom Acland,,16:09:07,00:54:07,,,
,,746,RTYC 5,,Jamie Scrimgeour,,,,,,NOD
,,GBR1248,DSP,,Marshall King & Doug Struth,,,,,,RET
,,742,RTYC 1,,Ella Brown,,,,,,RET
,,745,JUMP OFF,,Christine Shrimpton,,,,,,RET
