# Cowes Week 2024 - Redwing - Day 3 - 18 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2024&dayrequest=3&classrequest=68/3350
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,R46,ENIGMA,,The Downer Family,,13:34:56,02:29:56,,,
2,,R1,PAROQUET,,Rory & Sasha Morrison,,13:35:02,02:30:02,,,
3,,R32,LADY LAETITIA,,William Cleggs & Digby Morrison,,13:35:05,02:30:05,,,
4,,R30,QUAIL,,James Wilson,,13:35:25,02:30:25,,,
5,,R18,HARLEQUIN,,"Matthew Alexander, John Raymond & Alexander Shaw",,13:36:04,02:31:04,,,
6,,R21,REDWING,,"Olav Cole, Paul Lacy-Smith & Lieutenant Colonel Nick Woolgar",,13:36:50,02:31:50,,,
7,,R24,RED GAUNTLET II,,"Joe, Annie & Bel Robertson",,13:37:05,02:32:05,,,
8,,R15,IBIS,,Thomas Montagu Douglas Scott,,13:37:17,02:32:17,,,
9,,R40,PLOVER,,"Andrew , Edward & Charlotte Eddy",,13:38:53,02:33:53,,,
10,,R8,CAPELLA II,,Hugo Cuddigan,,13:38:12,02:34:44,,,
11,,R4,ROSETTA,,James Tate,,13:39:54,02:34:54,,,
12,,R2,AVOCET,,"Michael MacInnes, Rupert MacInnes, Alastair Speare-Cole & Je",,13:40:04,02:35:04,,,
13,,R5,SNOWGOOSE II,,Jonathan Nainby-Luxmoore,,13:40:08,02:35:08,,,
14,,R47,MUSICUS,,Andrew McCue,,13:40:09,02:35:09,,,
14,,R13,TARPON,,Dominic  Samuelson,,13:40:09,02:35:09,,,
16,,R20,TARA,,Mike Toogood,,13:41:08,02:36:08,,,
17,,R6,BLUEJAY,,Richard Jessel & Crispin Kenyon,,13:41:38,02:36:38,,,
18,,R103,PRAWN II,,Malcolm Bentley,,13:44:48,02:39:48,,,
