# Cowes Week 2024 - X One Design - Day 3 - 35 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2024&dayrequest=3&classrequest=74/3490
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,X91,ASTRALITA,,"John Tremlett, Tim Copsey, Fraser Graham",,15:35:18,02:50:18,,,
2,,X50,XCITATION,,Roger Yeoman,,15:36:59,02:51:59,,,
3,,166,SWALLOW,,Richard Faulkner,,15:38:01,02:53:01,,,
4,,X33,CLAIR DE LUNE,,"Max Crowe , Jeremy Baker & S McCarthy",,15:38:07,02:53:07,,,
5,,X58,MADELEINE,,Penelope Fulford,,15:38:12,02:53:12,,,
6,,X165,TORTOISE,,Jonathan Clark,,15:38:13,02:53:13,,,
7,,X8,ANN EX,,Martin Sellars & Rupert Harding,,15:38:17,02:53:17,,,
8,,X189,ONYX,,Roger Heath & Roger Ewart Smith,,15:38:26,02:53:26,,,
9,,X174,FOXGLOVE,,Al Ashford,,15:38:31,02:53:31,,,
10,,X119,LONE STAR,,"Ollie James, Phil Lawrence & Paul Woodman",,15:38:51,02:53:51,,,
11,,X176,CRUMPET,,Barry & Carol Dunning,,15:39:13,02:54:13,,,
12,,X161,MAYFLY,,Rory & Amanda Paton and Tim Hire,,15:39:31,02:54:31,,,
13,,X156,GLEAM,,James Meaning,,15:40:46,02:55:46,,,
14,,X177,RELAXATION,,Nick Andrews,,15:40:47,02:55:47,,,
15,,X192,FELIX,,Peter Baines,,15:40:48,02:55:48,,,
16,,X48,XL,,"Abby Hire, Alex Paton, Kate Wharmby & Tom Wharmby",,15:40:49,02:55:49,,,
17,,X51,ATHENA,,"Andrew Cooper, John Boyce & Donna Cooper",,15:40:50,02:55:50,,,
18,,X123,LARA,,William McNeill,,15:41:08,02:56:08,,,
19,,X175,XENON,,Henry & Joanna Murray-Smith,,15:41:34,02:56:34,,,
20,,X178,BEATRIX,,John Claxon & David Russell-Jones,,15:41:43,02:56:43,,,
21,,X117,X-RAY,,James Markby & David Bedford,,15:42:54,02:57:54,,,
22,,X32,IBEX,,"Oli Broughton, Alan Perry & Steve Dover",,15:43:20,02:58:20,,,
23,,X183,CONDOR,,Philip Hutchinson,,15:43:29,02:58:29,,,
24,,X128,LITTLE X,,Gary & Claire Rossall,,15:43:58,02:58:58,,,
25,,X140,LUCREZIA,,Thom Board,,15:44:00,02:59:00,,,
26,,X115,MIX,,"Nick Dorley-Brown, Mark Lacey & Tony Sceales",,15:45:02,03:00:02,,,
27,,X5,MADCAP,,Shaun Norris,,15:45:07,03:00:07,,,
27,,X171,XACTLY,,Esmond Jenkins,,15:45:07,03:00:07,,,
29,,X84,XOANA,,Pete Robson,,15:45:23,03:00:23,,,
30,,X74,FIONA,,Graham Knowles,,15:45:56,03:00:56,,,
31,,X144,LA MOUETTE,,Ken Williamson,,15:46:21,03:01:21,,,
,,X31,FRIVOL,,Robin Bromley-Martin,,,,,,RDG
,,X39,GONE AWAY,,"Steve Lawrence , Damian Ash & Finn McCormack",,,,,,NOD
,,X67,TYPHOON,,Simon Olliff,,,,,,DNC
,,X155,BADGER,,Ian Wilson,,,,,,DNC
