# Cowes Week 2025 - Cape 31 (Mini-series 7) - Day 4 - 14 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2025&dayrequest=4&classrequest=35/8035
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR7891X,BULLIT,,Julian Metherell,,15:21:39,00:47:39,,,
2,,GBR3412R,KHUMBU 2,,Guy Gillon,,15:21:47,00:47:47,,,
3,,GBR315X,JIRAFFE,,Simon Perry,,15:21:49,00:47:49,,,
4,,USA81567,FLYING JENNY,,Sandra Askew,,15:21:52,00:47:52,,,
5,,GBR3110X,JUBILEE,,Tony Dickin,,15:21:59,00:47:59,,,
6,,GBR3153X,AKHEILOS,,Ben Pritchard,,15:22:25,00:48:25,,,
7,,GBR314X,KATABATIC,,Lance Adams,,15:22:26,00:48:26,,,
8,,GBR3112X,TOUCAN,,"Glyn, Anthony & Alex Locke",,15:22:33,00:48:33,,,
9,,GBR317X,SHORT ECHO,,Andy FitzGerald,,15:22:49,00:48:49,,,
10,,GBR3130X,NARWHAL,,L Stone & J Hewat,,15:22:59,00:48:59,,,
11,,GBR3117X,FLURG,,David Cummins,,15:24:16,00:50:16,,,
,,GBR3169,BLACK SEAL,,Richard Thompson,,,,,,RET
,,GBR3119X,SQUIRREL,,Chris & Laura Anstead,,,,,,RET
,,GBR3113X,SWIFT HALF,,Ben Ward & Anthony Wheatley,,,,,,UFD
