# Cowes Week 2025 - Club Cruiser C - Day 6 - 11 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2025&dayrequest=6&classrequest=21/6195
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,NOR13613,SUSIMI III,,Michael and Susi Carrington,,14:28:39,02:23:39,,02:22:56,
2,,GBR6655T,ANTIGUA SAILING WEEK,,Dan Law,,14:30:03,02:25:03,,02:25:55,
3,,7825Y,KILVA,,Hugo Cuddigan,,14:38:03,02:33:03,,02:37:57,
4,,GBR2631R,PRECISION,,Salty Sailing,,14:44:04,02:39:04,,02:40:30,
5,,GBR1034L,FANDANGO,,Bob Litherland,,14:52:12,02:47:12,,02:44:42,
6,,5822L,AQUALEO OF LYMINGTON,,Ted Cadogan,,14:53:34,02:48:34,,02:45:52,
7,,GBR8520R,ANGLIAN,,Mark Attrill,,14:53:56,02:48:56,,02:47:25,
8,,132,PANDORA OF FEOCK,,Stephen Vaughan,,14:54:27,02:49:27,,02:50:28,
9,,GBR6908R,WHITE KNIGHT 7,,T J Clark,,14:49:04,02:44:04,,02:50:48,
10,,GBR4562,ARTEMIS,,John Clark & David McDonald,,15:00:42,02:55:42,,02:53:14,
11,,GBR981R,DANTE'S REVENGE,,Jonty Kennon,,15:32:30,03:27:30,,03:31:14,
