# Cowes Week 2025 - Contessa 32 - Day 6 - 13 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2025&dayrequest=6&classrequest=44/6130
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,671,MARY ROSE TUDOR,,George Bell,,14:13:45,02:28:45,,,
2,,CO651,DRUMBEAT,,Eldred Himsworth & Mark Himsworth,,14:14:30,02:29:30,,,
3,,918,SOLAN GOOSE,,Ben Rogers,,14:16:59,02:31:59,,,
4,,CO701,ANDAXI,,Donna Rouse-Collen,,14:17:17,02:32:17,,,
5,,GBR568,GUALIN,,"Rob Duke, Oli Donaghy, Rupert French & Rupert Parson",,14:21:52,02:36:52,,,
6,,926,ENGLISH ROSE,,Peter Binning & Anita Fulton,,14:23:26,02:38:26,,,
7,,CO718,CARINOSA,,Jo & Keith Sammons,,14:28:02,02:43:02,,,
8,,GBR6541,CONNIE,,Rob Hamlett & Mel McQueen,,14:28:06,02:43:06,,,
9,,CO682,BLANCO,,Stella Rouse,,14:32:52,02:47:52,,,
10,,GBR2958,CORAFIN,,Robin Holland,,14:35:18,02:50:18,,,
11,,GBR1370R,COH KAREK,,Tim Devlin,,14:41:57,02:56:57,,,
12,,GBR5054,SAOIRSE OF CORK,,Ben Morgan,,14:52:36,03:07:36,,,
13,,CO776,NIMBUS,,Charles Hill,,14:56:25,03:11:25,,,
