# Cowes Week 2025 - Flying 15 - Day 6 - 15 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2025&dayrequest=6&classrequest=73/6170
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR3779,MEN BEHAVING BADLY,,Rupert Mander,,13:17:05,01:57:05,,,
2,,GBR4145,WONKER,,Mr Richard Jordan,,13:18:04,01:58:04,,,
3,,GBR3479,AKARANA,,Graham & Libby Deegan,,13:19:28,01:59:28,,,
4,,GBR4090,FFABULOUS,,Chris Brittain,,13:20:33,02:00:33,,,
5,,GBR4014,FARFALLINA,,Rob Goddard  and Paul Baker,,13:20:36,02:00:36,,,
6,,3726,RIFFRAFF,,Duncan Grindley & Jon Mortimer,,13:22:45,02:02:45,,,
7,,GBR3819,FFLASHBACK,,Mike Dixon,,13:23:51,02:03:51,,,
8,,GBR3585,FFANTASTIC FOX,,Magnus & Harry Wheatley,,13:24:12,02:04:12,,,
9,,GBR3703,SCARAMOUCHE,,Corneille LePrince & Jessye Opoku-Ware,,13:24:51,02:04:51,,,
10,,GBR3926,FIFTY FIFTY,,Andrew Millband,,13:25:15,02:05:15,,,
11,,GBR3654,FFERVIDA,,Lisa & Roger Guy,,13:25:18,02:05:18,,,
12,,3400,FLORENCE,,A Goodman,,13:26:09,02:06:09,,,
13,,GBR3645,FFORTY LOVE,,Roger Herbert,,13:28:59,02:08:59,,,
14,,HKG3834,FREEFIRE,,Nick Atkinson,,13:29:18,02:09:18,,,
15,,GBR3288,AFFORE THE WEAK,,Mike & Alex Tatlow,,13:29:38,02:09:38,,,
