# Cowes Week 2025 - Sonar - Day 7 - 16 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2025&dayrequest=7&classrequest=61/7430
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR737,JENNY XXX,,Simon Clarke,,13:32:47,01:37:47,,,
2,,GBR602,ACF DOLPHIN,,Andrew Cassell Foundation,,13:33:42,01:38:42,,,
3,,GBR724,BERTIE,,Richard Bailey,,13:33:50,01:38:50,,,
4,,719,COWES MATCH RACING BLUE,,Will Bradley,,13:36:23,01:41:23,,,
5,,749,COWES MATCH RACING RED,,Ruby Sunderland,,13:36:25,01:41:25,,,
6,,ACF747,ACF SPARE PART,,Andrew Cassell Foundation,,13:39:04,01:44:04,,,
7,,699(F),DISCARD,,Andy McGregor,,13:39:14,01:44:14,,,
8,,578,DISCOVERY,,David Peerless,,13:41:05,01:46:05,,,
9,,582(H),WISCONSIN,,Georgina Hill,,13:41:20,01:46:20,,,
10,,609(J),FISCAL,,Rob Peace,,13:42:37,01:47:37,,,
11,,GBR849,ACF LIMBITLESS,,Andrew Cassell Foundation,,13:42:45,01:47:45,,,
12,,579(A),PERISCOPE,,Bob Milner,,13:43:06,01:48:06,,,
13,,577,PISCES,,Ed Suckling,,13:44:40,01:49:40,,,
14,,613(G),HIBISCUS,,Andrew Cassell Foundation,,13:47:03,01:52:03,,,
,,614(A),MISCREANT,,Ben Richards and Michael Ewart-Smith,,,,,,NOD
,,579(E),PERISCOPE,,Katie Reed,,,,,,NOD
