# Cowes Week 2025 - Sunbeam - Day 7 - 17 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2025&dayrequest=7&classrequest=71/7455
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,V68,SKY,,Oliver Gilchrist & Becky Wickens,,13:45:40,01:40:40,,,
2,,V67,MISTY,,Roger Wickens,,13:45:41,01:40:41,,,
3,,V70,MINTY,,Ben Slatter,,13:45:59,01:40:59,,,
4,,V27,PEGGY,,Stewart Coltart,,13:46:18,01:41:18,,,
5,,V11,HARMONY,,Patrick Green,,13:46:36,01:41:36,,,
6,,V73,OSPREY,,Simon Patterson,,13:46:55,01:41:55,,,
7,,V66,MOLLY,,Robin Richardson,,13:46:59,01:41:59,,,
8,,V2,JOY,,Martin Evans,,13:47:14,01:42:14,,,
9,,V72,SERENDIPITY,,Adrian & Nikki Edwards,,13:47:25,01:42:25,,,
10,,V33,SYMPHONY,,Rupert Eastwood & Viv Williams,,13:47:28,01:42:28,,,
11,,V12,ARGOSY,,James & Samantha Axtell,,13:47:30,01:42:30,,,
12,,V62,FIREFLY,,Stewart Reed,,13:47:32,01:42:32,,,
13,,V47,KITTY,,Simon Perkins,,13:48:39,01:43:39,,,
14,,V71,TIFFANY,,Philip McDanell,,13:50:53,01:45:53,,,
15,,V64,MAISY,,Sue Goddard,,13:51:39,01:46:39,,,
16,,V65,ALCHEMY,,Tamsin Saunders,,13:51:49,01:46:49,,,
,,V25,QUERY,,Tim Hill,,,,,,NOD
