# Cowes Week 2025 - Swallow (Race 4) - Day 5 - 12 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2025&dayrequest=5&classrequest=71/6467
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,S95,OSPREY,,James Hartley,,17:20:17,01:40:17,,,
2,,S3,SKUA,,Harry and Prue Roome & Pip Tagg,,17:21:03,01:41:03,,,
3,,S89,SVALA,,"Nigel Masding, Hugo Fisher & Paul Ward",,17:21:25,01:41:25,,,
4,,S93,GWAIHIR,,Mike Wigmore,,17:27:19,01:47:19,,,
5,,S82,MARENGO,,Philip Pascall,,17:28:38,01:48:38,,,
6,,S85,SPREADEAGLE,,George Miller,,17:29:25,01:49:25,,,
7,,S68,PTARMIGAN,,Olly Shaw,,17:30:02,01:50:02,,,
8,,S91,SPECTRE,,Jonny Pudney,,17:30:06,01:50:06,,,
9,,S86,MIGRANT,,James Leaver,,17:32:33,01:52:33,,,
10,,S81,GOOSANDER,,Tim Taylor,,17:35:28,01:55:28,,,
11,,S90,KA NYENGA,,Michael Robinson,,17:41:52,02:01:52,,,
,,S69,DART,,Bob Sharp,,,,,,RET
