# Cowes Week 2026 - Britannia Cup - Day 5 - 17 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2026&dayrequest=5&classrequest=10/5001
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,IVB1997,BEAU GESTE,,Karl Kwok,,12:29:15,02:29:15,1.413,03:30:53,
2,,GBR5N,INO VERITAS,,James Neville,,12:29:22,02:29:22,1.419,03:31:57,
3,,GBR11152,GLADIATOR,,Tony Langley,,12:36:22,02:36:22,1.395,03:38:08,
4,,GBR17N,BRAVEHEART,,Malcolm Offord,,12:37:41,02:37:41,1.386,03:38:33,
5,,GBR4068R,STANDFAST,,Simon Patterson,,12:54:16,02:54:16,1.277,03:42:32,
6,,GBR7891X,BULLIT,,Julian Metherell,,13:18:09,03:18:09,1.125,03:42:55,
7,,GBR56X,KHUMBU,,Guy Gillon,,12:34:47,02:34:47,1.443,03:43:21,
8,,NZL42,CALLISTO,,James Murray,,12:56:42,02:56:42,1.273,03:44:56,
9,,NED61137,BARAKA GP,,Olivier & Dirk De Graaf,,13:01:05,03:01:05,1.280,03:51:47,
10,,FRA53565,WHIM,,Julien Bentz & Romain Trouble,,13:04:15,03:04:15,1.261,03:52:20,
11,,GBR7642R,PEGASUS 42,,Malcolm Wootton,,13:08:00,03:08:00,1.236,03:52:22,
12,,GBR3117X,FLURG,,David Cummins,,13:26:47,03:26:47,1.127,03:53:03,
13,,GBR314X,KATABATIC,,lance adams,,13:30:29,03:30:29,1.126,03:57:00,
14,,NED17001,VAN UDEN,,Laura Louise van Veen,,13:06:51,03:06:51,1.290,04:01:02,
15,,GBR318X,KHUMBU,,Guy Gillon sailed by Christian Hamilton,,13:33:54,03:33:54,1.127,04:01:04,
16,,GBR86R,FARGO,,Athena Pathway,,13:34:50,03:34:50,1.126,04:01:54,
17,,GER7007,STOERTEBEKER,,Moritz Pich,,13:04:53,03:04:53,1.331,04:06:05,
