# Cowes Week 2026 - Club Cruiser D - Day 4 - 22 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2026&dayrequest=4&classrequest=34/4134
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,240,PANDA OF HAMBLE,,Barnes & Smyth,,14:45:16,02:45:16,,02:50:44,
2,,999T,HIGH SPIRIT,,Andy Maskell,,14:45:44,02:45:44,,02:52:17,
3,,GBR4080T,CRAKAJAX,,Richard & Ursula Hollis,,14:45:59,02:45:59,,02:55:05,
4,,GBR4562,ARTEMIS,,David McDonald &  John Clark,,14:49:55,02:49:55,,02:59:14,
5,,6219L,TOY TIME,,Michael Barlow,,14:57:03,02:57:03,,03:03:40,
6,,GER7927,VERITAS,,Carl Hentges,,14:50:00,02:50:00,,03:04:35,
7,,5822L,AQUALEO OF LYMINGTON,,Edward Cadogan,,14:56:39,02:56:39,,03:07:32,
8,,GBR5748T,HAGGIS SQUARED,,"Andrew Buchanan, Steve Bramwell & Will Norris",,14:56:26,02:56:26,,03:10:32,
9,,5697L,MUTTLEY,,Malcolm Habens,,14:58:39,02:58:39,,03:13:21,
10,,FB619,FRK FRYD,,William Mumby,,15:32:37,03:32:37,,03:16:52,
11,,GBR3321,MON DILEMME,,Mark Hiley & the Moustachioed Mariners,,15:04:02,03:04:02,,03:19:23,
12,,GBR4164L,CHAMELEON,,Louis Kenna,,15:09:43,03:09:43,,03:24:13,
13,,55,CARABELLA,,Patrick Banfield,,15:46:23,03:46:23,,03:24:30,
14,,GBR4393T,AQUILA,,Mark Roberts,,15:30:34,03:30:34,,03:31:37,
15,,GBR9945Y,WHISTLER,,Peter Jeffery,,15:19:41,03:19:41,,03:32:12,
16,,GBR4536L,SEA BEAR,,Julian Lindley,,15:40:54,03:40:54,,03:50:50,
17,,GBR2935L,VIS A VIS,,Joe Verrecchia,,15:58:58,03:58:58,,04:18:54,
18,,GBR5385,HARE BRAIN,,Dirk Rogers,,16:29:40,04:29:40,,04:46:53,
,,GBR7729,GEMSTONE,,Annie Sharp,,,,,,OCS
,,GBR7093T,MARGOT,,R McKissock,,,,,,RET
,,GBR47,LITTLE WONDER,,Isabelle Pritchard,,,,,,RET
,,6854T,FRICFRAC IV,,Nick Martin,,,,,,DNC
