# Cowes Week 2026 - Folkboat (Race 4) - Day 2 - 20 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2026&dayrequest=2&classrequest=40/4165
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR612,CIDRON TOO,,James Walters,,15:36:54,01:46:54,1081,01:38:53,
2,,GBR669,GYBE N',,Cy Grisley & Simon Evans,,15:38:03,01:48:03,1081,01:39:57,
3,,GBR718,CRACKERJACK,,Stuart Watson & Matthew Jones,,15:39:36,01:49:36,1081,01:41:23,
4,,GBR673,IF ONLY,,Ray Mitchell,,15:41:51,01:51:51,1081,01:43:28,
5,,GBR720,THE OTTER,,Claire Locke,,15:42:21,01:52:21,1081,01:43:56,
6,,GBR732,MISTRAL,,Mr & Mrs Julian Sowry,,15:43:34,01:53:34,1081,01:45:03,
7,,GBR754,EALA BHEAG,,Alasdair Maclean,,15:44:13,01:54:13,1081,01:45:40,
8,,GBR712,SAMPHIRE,,Graham Coulter,,15:44:25,01:54:25,1081,01:45:51,
9,,738,SCARAMOUCHE,,Nathan Rushin,,15:44:51,01:54:51,1081,01:46:15,
10,,FGBR707,MADELAINE,,Madelaine and Isobella Donald,,15:45:08,01:55:08,1081,01:46:30,
11,,FB461,MISTRESS,,Colin Eales,,15:52:54,02:02:54,1092,01:52:33,
12,,GBR721,BELLATRIX,,Paul Hayden,,15:53:59,02:03:59,1081,01:54:42,
13,,FB172,FOLKDANCE,,Susan Rutter,,15:58:18,02:08:18,1092,01:57:29,
14,,F685,BOSSA NOVA,,David Fox,,16:06:25,02:16:25,1081,02:06:12,
15,,FB46,BLUE MIST,,Roger Hayward,,16:25:26,02:35:26,1092,02:22:20,
16,,FB559,SMOKEY,,Tim Cowin,,16:32:12,02:42:12,1092,02:28:32,
,,GBR713,TAK,,Jeremy Austin,,,,1081,,NOD
,,702,SVANE,,Harry Hall,,,,1081,,NOD
,,FGBR624,VALHALLA,,Kim Morley Mark Diffey & Andrew Crabtree,,,,1081,,RET
,,GBR751,FREYILDA,,Stuart Wood,,,,1081,,DNC
