# Cowes Week 2026 - LMIS IRC Class 3 - Day 4 - 16 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2026&dayrequest=4&classrequest=13/4030
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR4863R,YES!,,Adam Gosling,,15:11:48,03:56:48,1.055,04:09:49,
2,,NED1112,JACK RABBIT,,Rutger Krijger & Caroline van Beelen,,15:15:33,04:00:33,1.047,04:11:51,
3,,GBR809T,EAGER,,Chris Cecil-Wright,,15:16:52,04:01:52,1.049,04:13:43,
4,,GBR22118,LEON,,David Franks,,15:16:45,04:01:45,1.051,04:14:05,
5,,GBR5591L,ONE WAY,,Yacht Club Punta del Este - Uruguay,,15:28:42,04:13:42,1.025,04:20:03,
6,,NED5146,ZEEBEER 3,,Ad van Wijngaarden,,15:29:08,04:14:08,1.025,04:20:29,
7,,GBR4070L,INCOGNITO,,Paul McNamara,,15:26:15,04:11:15,1.043,04:22:03,
8,,GBR626R,OLD MOTHER GUN,,Tim Penfold,,15:29:03,04:14:03,1.032,04:22:11,
9,,GBR7377R,IMPOSTOR,,Robin Page,,15:33:36,04:18:36,1.030,04:26:21,
10,,GBR9473R,ROCKIT,,"Chris Hanson, John Hanson, Helen Seldon, Lisa Moody & Harrie",,15:35:40,04:20:40,1.024,04:26:55,
11,,GBR8438R,ORBIT,,Dan Fellows,,15:36:37,04:21:37,1.021,04:27:07,
12,,SWE450,EMILY OF COWES,,Richard Oswald,,15:34:07,04:19:07,1.039,04:29:13,
13,,GBR2627R,LORD OF THE DANCE,,Andy Pidden,,15:38:33,04:23:33,1.025,04:30:08,
14,,GBR5936R,REDEYE,,Emre Derman,,15:43:59,04:28:59,1.030,04:37:03,
,,GER7265,LOEWE VON BREMEN,,Max Herrmann,,16:22:15,05:07:15,1.044,05:20:46,NOD
,,GBR9049R,GLADYS,,Martin Cox & Anna Cox,,,,1.025,,DNC
