# Cowes Week 2026 - RS21 (Race 2) - Day 1 - 11 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2026&dayrequest=1&classrequest=62/2360
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,252,DARK AND STORMY,,Liam & Keith Willis,,15:41:08,00:51:08,,,
2,,GBR341,TIGA TIGER,,Tom & Jo Hewitson,,15:41:38,00:51:38,,,
3,,GBR358,RS SAILING,,Al Keck,,15:41:47,00:51:47,,,
4,,236,DOES YOUR MOTHER SAIL  ?,,Geoff Carveth,,15:41:49,00:51:49,,,
5,,GBR315,5 O'CLOCK SOMEWHERE,,Nigel Rolfe,,15:42:38,00:52:38,,,
6,,NED246,RAFIKI NEMA,,Michiel Geerling,,15:42:47,00:52:47,,,
7,,GBR305,305,,Lucian Stone,,15:42:55,00:52:55,,,
8,,GBR333,WHITE ORYX,,Crispin Winser,,15:43:03,00:53:03,,,
9,,235,RAINBOW CHASER,,Simon Wong & KK Lee,,15:44:07,00:54:07,,,
10,,GBR141,ROSA LEWIS,,Cressida Robson,,15:45:25,00:55:25,,,
,,GBR133,TEAM MAGENTA PROJECT,,Team Magenta Project,,,,,,DNF
