# Cowes Week 2026 - Sonata (Race 6) - Day 3 - 10 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2026&dayrequest=3&classrequest=39/6435
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR8090,NO RETREAT,,Guy Raynes,,13:37:36,01:32:36,,,
2,,GBR8275N,DUET,,Mark Jenkinson,,13:38:57,01:33:57,,,
3,,GBR8084N,SONIC,,Leather Family,,13:39:03,01:34:03,,,
4,,GBR8504N,DICK DASTARDLEY,,Dawn Bee,,13:39:25,01:34:25,,,
5,,GBR8887N,ENZO,,Charlie & Jo Field,,13:40:49,01:35:49,,,
6,,GBR8424N,MUSICAL EXPRESS,,Stuart Pierce,,13:42:15,01:37:15,,,
7,,GBR8377,PRESTO,,"Tim Exell, Adam Ridett, Chris Ridett & Daniel Ridett",,13:42:24,01:37:24,,,
8,,8021N,BOTTOMS UP,,"Ed Ewer, Kieran Ward, Jane Harry & Leah Colburn",,13:43:20,01:38:20,,,
9,,GBR8036N,VEGVISIR,,Matthew Middleton-leal,,13:44:31,01:39:31,,,
10,,GBR8407N,JIVE,,Mark Waddington & Yiannis Costopolos,,13:49:15,01:44:15,,,
