# Cowes Week 2026 - Sportsboat - Day 7 - 11 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2026&dayrequest=7&classrequest=51/7450
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR7006N,SPARKLE,,Laurie & Wright,,15:41:27,01:31:27,0.905,01:22:46,
2,,GBR2614R,TIGGER,,Jo Richards,,15:39:41,01:29:41,0.929,01:23:19,
3,,GBR1411,DERISION,,George May,,15:37:56,01:27:56,0.951,01:23:37,
4,,GBR411,MAKO,,Ian & Imogen Watkins,,15:32:00,01:22:00,1.049,01:26:01,
5,,GBR1333,JUMPIN' JACK FLASH,,David Bromilow,,15:41:52,01:31:52,0.951,01:27:22,
6,,DEN004,COOL RUNNINGS,,Ross Bowdler,,15:29:40,01:19:40,1.098,01:27:28,
7,,GBR511,EMOJI,,"Greg Driver, Eoin McPherson, Craig Pitt & Robert Stiles",,15:42:52,01:32:52,0.951,01:28:19,
8,,GBR1733,PREMIER CRU,,Tom Richardson,,15:41:41,01:31:41,1.009,01:32:31,
9,,GBR50,VENDETTA,,Phil Methold,,15:38:45,01:28:45,1.044,01:32:39,
10,,GBR3111X,RUM N CORK,,Rum N Cork Sailing Team,,15:59:13,01:49:13,0.945,01:43:13,
,,GBR714,JUPITER,,Shaun Thaxter,,15:45:17,01:35:17,0.951,01:30:37,OCS
