# Cowes Week 2026 - Sunbeam (Race 7) - Day 6 - 18 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2026&dayrequest=6&classrequest=71/7455
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,V74,ODYSSEY,,Peter Taylor,,14:25:29,02:50:29,,,
2,,V32,HOLLY,,Martin & Vicky Jones,,14:27:42,02:52:42,,,
3,,V33,SYMPHONY,,Zac Shepherd,,14:36:23,03:01:23,,,
4,,V25,QUERY,,Tim Hill,,14:41:38,03:06:38,,,
5,,V66,MOLLY,,Robin Richardson,,14:42:36,03:07:36,,,
6,,V2,JOY,,Martin Evans,,14:43:10,03:10:03,,,
7,,V47,KITTY,,Simon Perkins,,14:45:06,03:10:06,,,
8,,V68,SKY,,Roger & Becky Wickens,,14:45:34,03:10:34,,,
9,,V12,ARGOSY,,James & Samantha Axtell,,14:46:56,03:11:56,,,
10,,V27,PEGGY,,Dr Robert S Coltart,,14:47:15,03:12:15,,,
11,,V70,MINTY,,Jason Antill,,14:48:30,03:13:30,,,
12,,V36,MELODY,,John Tanner,,14:48:36,03:13:36,,,
13,,V71,TIFFANY,,Philip McDanell,,14:49:24,03:14:24,,,
13,,V72,SERENDIPITY,,Adrian & Nikki Edwards,,14:47:29,03:14:24,,,
15,,V73,OSPREY,,Ben Slatter,,14:50:17,03:15:17,,,
16,,V64,MAISY,,Patrick Green,,14:52:45,03:17:45,,,
17,,V1,DAINTY,,Christopher Moore & Lottie Johns,,15:02:32,03:27:32,,,
18,,V65,ALCHEMY,,Tamsin Saunders,,15:02:35,03:27:35,,,
