# Taittinger RSYC Regatta 2025 IRC 4 - Race 2 (2025-07-06) - 19 boats - https://archive.halsail.com/Result/Public/3415/6
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1,IRL1751,Illegal,Quarter Ton,Kieran Dorgan,Kieran Dorgan,10:58:23,0:49:23,0.901,0:44:30,
2,2,GBR4610,Stan the Boat,Sigma 33,Toby Gorman,Toby Gorman,10:59:48,0:50:48,0.906,0:46:01,
3,3,GBR6508T,Banter,Mustang 30,Handley James Families,Alice Handley,11:00:27,0:51:27,0.906,0:46:37,
4,4,GBR1716,Anna Mai,Swan 36,Harry Hutchinson,Harry Hutchinson,11:01:24,0:52:24,0.892,0:46:44,
5,5,GBR4888T,White Mischief,Hanse 291,Andy Hind,Andy Hind,11:02:46,0:53:46,0.875,0:47:03,
6,6,GBR91,Timoa,Stella,Andrew Gilmour,Andrew Gilmour,11:10:48,1:01:48,0.770,0:47:35,
7,7,GBR9911Y,SailFish,GibSea 90,Oliver Hawkins,Oliver Hawkins,11:04:00,0:55:00,0.871,0:47:54,
8,8,GBR4080T,Crakajax,X95,Ursula Hollis,Richard Hollis,11:02:19,0:53:19,0.902,0:48:05,
9,9,GBR123N,Resolution,Evolution 26,Paul Walker,Nigel Summers,11:05:41,0:56:41,0.851,0:48:14,
10,10,GBR33849,Colleen,J/30,Allan Hill,Allan Hill,11:03:22,0:54:22,0.892,0:48:30,
11,11,GBR4589R,Prospero of Hamble,Sigma 33,Allan Fraser,Allan Fraser,11:02:35,0:53:35,0.906,0:48:33,
12,12,GBR7601R,Bert,H Boat,Mark Angell,Finn Kirkpatrick,11:08:47,0:59:47,0.829,0:49:34,
13,13,GBR1667R,Marmite,Limbo 6.6,Andrew Rushworth,Andrew Rushworth,11:09:37,1:00:37,0.818,0:49:35,
14,14,GBR3416,Olivia Anne VI,"Quarter Tonner, Scampi 26",Jan Thirkettle,Jan Thirkettle,11:10:18,1:01:18,0.812,0:49:47,
15,15,GBR8090N,No Retreat,Hunter Sonata,"Guy, Mike,  Helena, Giff Raynes",Mike Heffer,11:10:42,1:01:42,0.817,0:50:25,
16,16,GBR4519,Kusima,Sigma 33 OOD,Philip Mileham,Philip Mileham,11:06:23,0:57:23,0.906,0:51:59,
17,17,GBR4448,Chaser,Sigma 33 OOD,David Cheney,David Cheney,11:09:22,1:00:22,0.906,0:54:42,
18,18,GBR4722L,Temptation,Westerly Regatta 290,Rene Chinnery,Rene Chinnery,11:21:17,1:12:17,0.842,1:00:52,
DNC,19,GBR3766T,Google-Eye,Trapper 300,Pat Stables,Pat Stables,,,0.836,,
