# IRC Autumn Championships Autumn Regatta IRC2 - Race 3 (2025-10-11) - 13 boats - https://www.halsail.com/Result/Public/90925
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1,GBR9201R,Jambo,J/92S,Simon Shillaker,Simon Shillaker,13:53:02,0:48:02,0.978,0:46:59,
2,2,GBR1250N,Elaine Again,JPK 1010,Ed Mockridge,Ed Mockridge,13:56:25,0:51:25,1.004,0:51:37,
3,3,GBR2091R,Jenie,J109,Rosie Berry,Rosie Berry,13:57:44,0:52:44,1.001,0:52:47,
4,4,GBR8809R,Mojo risin,J 109,Rob Cotterill,Rob Cotterill,13:58:07,0:53:07,1.002,0:53:13,
5,5,IRL8088,Frank 4,J/109,Oliver Love,Oliver Love,13:58:35,0:53:35,1.002,0:53:41,
6,6,GBR9760R,Jengu,J 109,Bill Stock,Bill Stock,14:01:17,0:56:17,1.001,0:56:20,
7,(7),GBR3061X,Njord,A35,Andrew Screech,Andrew Screech,14:02:21,0:57:21,1.016,0:58:16,
8,(8),GBR9091R,Jukebox,J 109,John Smart,John Smart,14:04:21,0:59:21,1.000,0:59:21,
9,9,GBR960R,Hot Rats,First 35,Robbie & Lis Robinson,Robbie & Lis Robinson,14:05:20,1:00:20,1.007,1:00:45,
10,10,GBR1599R,Jump 2 it,J/99,Kevin Taylor,Kevin Taylor,14:05:40,1:00:40,1.008,1:01:09,
11,(11),RSA118,Antidote,VIPER 640,Nevan Lucas,Nevan Lucas,14:06:06,1:01:06,1.003,1:01:17,
12,12,GBR8327,Light,Sigma 38,Richard Kern,Richard Kern,14:15:11,1:10:11,0.970,1:08:05,
NSC,(14),GBR8541R,Jeroboam,J 109,Stephen Davis,Stephen Davis,,,1.003,,
