# Hamble Winter Series HWS IRC3 - Race 6 (2025-10-19) - 15 boats - https://www.halsail.com/Result/Public/90929
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1,GBR6508T,Banter,Mustang 30,Ian Handley & Tim James,Ian Handley & Tim James,13:46:49,1:26:49,0.906,1:18:39,
2,2,GBR8185,Quokka 9,HALF TONNE,James Crew,James Crew,13:44:32,1:24:32,0.941,1:19:33,
3,3,FRA8214,Protis,Quarter To,Team Hamble,Team Hamble,13:48:25,1:28:25,0.901,1:19:40,
4,4,GBR4503,Shadowfax,SIGMA 33 O,Clark Rutter,Clark Rutter,13:56:33,1:36:33,0.906,1:27:28,
5,5,GBR4589R,Prospero of Hamble,SIGMA 33 O,Allan Fraser,Allan Fraser,13:57:44,1:37:44,0.906,1:28:33,
6,6,GBR6896T,Erik the Red,Mustang 30,Bernard Fyans,Bernard Fyans,14:00:54,1:40:54,0.906,1:31:25,
DNC,16,GBR363R,Whooper,L Giles 39,Giovanni Belgrano,Giovanni Belgrano,,,0.937,,
DNC,16,GBR2979L,Moon Cloud,S & S 34,Edward Broadbent,Edward Broadbent,,,0.870,,
DNC,16,GBR4164L,Chameleon of Cowes,Morris M36,Louis Kenna,Louis Kenna,,,0.946,,
DNC,16,GBR4610,Stan the Boat,SIGMA 33 O,Toby Gorman,Toby Gorman,,,0.901,,
DNC,16,GBR6384T,Dark Horse,Mustang 30,Rob Macgregor,Rob Macgregor,,,0.905,,
DNC,(16),GBR7696T,Memory Maker,FIRST 31.7,Don Forster,Don Forster,,,0.941,,
DNC,16,GBR8008X,Humdinger,HANSE 292,Peter Cover,Peter Cover,,,0.881,,
DNC,(16),FRA9186,Cartoon,Quarter To,Gavin Doyle,Gavin Doyle,,,0.896,,
DNC,16,GBR9500,Polly,Impala,Ben Meakins,Ben Meakins,,,0.880,,
