KeepSailNo,MergeSailNo,Notes
CAY27,A1,name:ADELA||DIJKSTRA
GBR8368,GBR8368T,name:ADELAIDE STAR||BAVARIA 44
FRA9631,IRL9631,name:ADELIE||FIRST
RO0528,ROU0528,name:AFRICANA||X-TREME 37
FRA29777,IRL29777,name:ALCHIMISTE||JPK
FRA3506,FRA35068,name:AMADEUS||FIRST
IRL375IRL,IRL375,name:ANDANTE||YAMAHA 36
USA1253,IRL708,name:ANTIX||KER 40
GBR2742R,GBR2472R,name:ATAME||FAST 42
GBR5167T,GBR5167R,name:AUDACIOUS||JOD 35
GBR8936R,GBR8936,name:BLACK SHEEP||SUN FAST 3600
ITA13880,BUL13880,name:BLUE MAGIC||FIRST
GBR3897T,GBR3897,name:BLUSTERY DAY||FIRST 38S5
GBR7765T,GBR7765R,name:BOATOX||ELAN 333
NED20002,SWE20002,name:BOUDRAGON||VOLVO 60
GBR854R,GBR854,name:BRAVE||ARCONA 410
GBR3936,GBR3963,name:BRITISH BEAGLE||SIGMA 36
GBR9184,IRL9184,name:CARTOON||QUARTER TONNER
GBR9184,IRL9186,name:CARTOON||QUARTER TONNER
GBR301,GBR301R,name:CHALLENGER||WHITBREAD 60
GBR66R,IRL2016,name:CHECKMATE XV||MG HS 30
GBR8888N,GBR888N,name:COBRA||KING 40
CAY007,USA12358,name:COMANCHE||VPLP/VERDIER 100 SUPER MAXI
DEN4,DEN004,name:COOL RUNNINGS||OPEN
CAY126,USA126,name:DANNESKJOLD||DIXON 100
GBR6013T,GBR6013,name:DANS LA ROUGE||FIRST 325
GBR7347R,GBR734R,name:DAYDREAM BELIEVER||FIRST
GBR1466,GBR1466R,name:DIAMOND JEM||J/109
GBR6500N,1,name:DIVA||PRIMA 38
GBR9033T,IRL9033,name:DUFF LITE||CORBY 25
FRA1953,AUT1876,name:E1||VOLVO OPEN 70
BEL1178,GBR1178X,name:EASY GLIDER||S&S 41
GBR2909,GBR2909L,name:EAZI TIGER||CORBY 29
USA43545,US43545,name:ECHO ZULU||FRERS 45
GBR6511N,GBR6511,name:EL STAN||PRIMA 38
GBR8407R,IRL8407,name:ENCORE||FIRST
GBR4489R,USA44160,name:FINNISH LINE||SWAN 44 MK II
MON46,MON046,name:FOREIGN AFFAIR||SWAN 46 MK II
NED40010,RUS40010,name:FROGFOOT||KER 40
GBR748R,GBR748,name:HAPPY DAIZE||J/112E
GBR9412R,GBR9412,name:HYSTERIA||JOD 35
NED53037,FRA53037,name:IL CORVO||JPK 1180
GBR7253,GBR7253T,name:ILEX OF UPNOR||X 332
GBR9707R,NED9707R,name:INN SPIRIT||HUMPHREYS 11M
