# RORC 2007 IRC 0 - Entries: 77     Races Sailed: 12     Discard: 7 (None) - 77 boats - https://www.rorc.org/raceresults/2007/ms00os.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,FRA27909,Courrier Du Coeur,First 44.7,Gery Trentesaux,,,,1.106,,
,,GBR1293R,JB 3,J 133,Charles Ivill,,,,1.113,,
,,GBR236R,Erivale III,Ker 39,Mike Greville,,,,1.12,,
,,GBR4601L,Fair Do's VII,Ker 46,John Shepherd,,,,1.183,,
,,GBR7400R,Hooligan VI,Farr 40,Edward Broadway,,,,1.173,,
,,GBR9402R,Azure,Dubois IRC 40,Mark Wynne-Smith / Robert Blackwell,,,,1.168,,
,,GBR4906R,Yani,Marten 49,Bob Swann,,,,1.253,,
,,GBR60R,Jeronimo,J 133,Jonathan Goring,,,,1.13,,
,,FRA9545,Codiam ENSPjuni,IMX 45,Nicoleau,,,,1.15,,
,,ITA13720,Nisida,GY 51,Peter Hopps and Hilary Cook,,,,1.225,,
,,GBR6657R,Les Papillons,Beneteau 57,Steve Bennett,,,,1.132,,
,,GBR5955T,John Merricks,Farr 45,Volvo RYA Keelboat Programme,,,,1.23,,
,,GBR9419T,Windsong,Windsong 37,Stuart Bowen-Davies/Huw Evans,,,,1.173,,
,,GBR133L,Jump,J 133,Martin Richmond-Coggan,,,,1.119,,
,,GBR2045R,Alice 2,Farr 45,Simon Henning,,,,1.233,,
,,GBR1303,Grandee,Swan 51,Kenneth Newman,,,,1.113,,
,,GBR4771R,Gilly B,First 47.7,Mike Ridley,,,,1.136,,
,,GBR562R,Floating Voter,MAT12,Jon Sanders,Jon Sanders,,,1.135,,
,,GBR942R,Madrugada,Pacer 42 Club,Derek Shakespeare,,,,1.145,,
,,GBR1665,Desperado of Cowes,Swan 65  Ketch,David Bongers,,,,1.133,,
,,GBR6612R,Pacific Interiors Sailplane,First 47.7,Rob Bottomley,,,,1.127,,
,,ESP7100,Charisma,S&S 57,Alejandro Perez Calzada,,,,1.11,,
,,GBR7801T,Endeavour,Challenge 67 OD,JSASTC,,,,1.141,,
,,IRL4500,Exabyte 3,IMX45,Sailing Logic,Nick Martin,,,1.147,,
,,GBR477L,Pi Squared,First 47.7,Fin McGurran,,,,1.116,,
,,GBR1002L,Heartbeat 3 of Burnham,Dufour 44,Jason & Judy Payne-James,,,,1.109,,
,,FRA26,Maluel,Class 40,Marc Lepesqueux,,,,1.272,,
,,GBR4545,Fraxious,Farr 45,Jack Pringle,,,,1.229,,
,,GBR5733R,Jacana,J 133,David Munro,2 Handed,,,1.108,,
,,GBR6552L,Acheron,Oyster 655,Richard Winder,,,,1.19,,
,,GBR8248,Incisor of Wight,Corby 45,Windward Sailing,Alan Draper,,,1.175,,
,,GBR8651R,Spirit of Minerva,Farr Millenium 65,Michael Collier,Duncan Jubb,,,1.252,,
,,GBR4778R,Global Yacht Racing EH01,First 47.7,Global Yacht Racing,,,,1.114,,
,,GBR8653R,Spirit of Juno,Farr Millenium 65,Michael Collier,Paul Coward,,,1.252,,
,,USA52599,Snow Lion,Ker 50,Lawrence S. Huntington,,,,1.279,,
,,GBR8652R,Spirit of Diana,Farr Millenium 65,Michael Collier,Miles Wise,,,1.252,,
,,GBR1108L,Skipjack of Cowes,Ker 11.3,Paul Wood / M Wood / I Magee,2 handed,,,1.159,,
