# RORC 2007 IRC SZ - Entries: 16     Races Sailed: 10     Discard: 5 (None) - 16 boats - https://www.rorc.org/raceresults/2007/msszos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,NED56,Formidable 3,Lutra 56,Piet Vroon,,,,1.367,,
,,GBR52R,Chernikeeff 2,Farr 52,Peter Harrison,,,,1.315,,
,,US60006,Venomous,Carroll Marine 60,Derek Saunders,,,,1.353,,
,,GBR521R,Bear of Britain,Farr 52,Windward Sailing,James Gair,,,1.317,,
,,8844,V Project,Volvo 60,Project Racing Team,,,,1.479,,
,,GBR2710R,Pindar Alphagraphics,Volvo 60,Olly Smith,Olly Smith/Jo Royle,,,1.425,,
,,BER2000,Venom,Volvo 60,Andreas Hanakamp,,,,1.423,,
,,GBR5205L,Fidessa Fastwave II,TP 52,ACP Sailing,,,,1.357,,
,,USA25555,Rambler,Rechiel Pugh 90,George David,,,,1.679,,
,,AUS60000,Loki,Reichel Pugh 60,Stephen Ainsworth,Cameron Miles,,,1.411,,
,,MON70,Mean Machine,VO70,Peter de Ridder,,,,1.667,,
,,NED20002,PLEOMAX,Volvo 60,Harm J Prins,,,,1.416,,
,,GBR10,Artemis Ocean Racing,Open 60,Jonny Malbon,Jonny Malbon,,,1.659,,
,,GBR9406T,Nimrod,Marten 80,Simon Lambert,,,,1.325,,
,,NED7440,Roaring Again,Lutra 40,Richard Tolkien and Hans Plas,2 handed,,,1.331,,
,,GBR994R,Bounder,IRC 55,Chris Little,,,,1.433,,
