# RORC 2008 IRC 2 Handed - Entries: 31      Races Sailed: 9      Discard: 4 (None) - 31 boats - https://www.rorc.org/raceresults/2008/ms2hos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR9596R,Slingshot,J105,Michael Boyd & Niall Dowling,,,,1.015,,
,,GBR7716R,Psipsina,HOD 35,John Loden & Bernie Bingham,,,,1.012,,
,,GBR9405R,Juliette,J105,Rod Knowles,,,,1.014,,
,,GBR993R,Astarte,First 34.7,Nick & Suzi Jones,,,,1.01,,
,,GBR722R,Voador,J105,Simon Curwen,,,,1.015,,
,,FRA28747,Ultreia!,J.P.K. 9.60 Q.B.,Matthias Kracht,,,,0.991,,
,,42,Kerlaria,Akilaria 40,Mike West,,,,1.306,,
,,IRL673,Mumbo.ie (2H),,,,,,0.993,,
,,GBR8518R,Jalfrezi (2H),,,,,,1.068,,
,,IRL1988,Blackjack (2H),,,,,,0.938,,
,,GBR7384R,Cheetah Cub (2H),,,,,,1.052,,
,,GBR14408,Cracker (2H),,,,,,0.999,,
,,FRA369,Night and Day,J105,Pascal Loison,,,,1.014,,
,,GBR9205R,Diablo-J,J105,Nick Martin,,,,1.015,,
,,FRA55,Just A J,J105,Rolland Tancrede,,,,1.017,,
,,GBR4852R,Gusilliam,Rogers Class 40,Mark Wynne-Smith & Jack Buttell,,,,1.283,,
,,GBR7707T,Fay-J,J105,Paul Griffiths,,,,1.018,,
,,GBR3936,British Beagle,Sigma 36,Marco Nannini,2 Handed,,,0.944,,
,,GBR4698T,Xarifa,X342,Teresa Whelan,,,,0.948,,
,,GBR8538R,Solan Goose,J92s,Peter Olden,,,,0.996,,
,,GBR9354R,Excape,Aerodyne 38,Jonathan Hamlyn,,,,1.107,,
,,GBR6652T,Equilibrium,Sweden Yachts C38,Graham Whitehouse,,,,0.972,,
,,GBR3898,Ruffian (2H),,,,,,0.938,,
,,GBR9492T,Star Dancer (2H),,,,,,0.938,,
,,GBR2191T,Exeat,Westerly Storm 33,Guy McBride,,,,0.912,,
,,52,An Nou Ay,Beneteau Figaro II,Simon Brady,,,,1.094,,
,,NED7440,Roaring Again,Lutra 40,Richard Tolkien & Hans Plas,,,,1.335,,
,,GBR722,Voador (2H),,,,,,1.105,,
,,GBR1605R,Juneau,J105,Oscar Mead,,,,1.014,,
,,GBR8221R,Ulula (2H),,,,,,1.09,,
,,IRL107L,IRL 107L (2H),,,,,,1.128,,
