# RORC 2008 IRC SZ - Entries: 10      Races Sailed: 9      Discard: 4 (None) - 10 boats - https://www.rorc.org/raceresults/2008/msszos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,NED56,Formidable 3,Lutra 56,Piet Vroon,,,,1.369,,
,,GBR76R,John Merricks II,TP52,Volvo RYA Keelboat Programme,,,,1.358,,
,,GBR8844,Alburn,,,,,,1.414,,
,,GBR52R,Chernikeeff 2,Farr 52,Peter Harrison,Seb Cassiba,,,1.316,,
,,GBR528R,Ran,TP52,Niklas Zennstrom,,,,1.368,,
,,USA60006,Venomous,CM60,Windward Sailing,Derek Saunders,,,1.345,,
,,SWE20002,Pleomax,Volvo 60,WSV VO60,Harm J Prins,,,1.413,,
,,42,Kerlaria,Akilaria 40,Mike West,2 Handed,,,1.306,,
,,NED7440,Roaring Again,Lutra 40,Richard Tolkien & Hans Plas,2 Handed,,,1.335,,
,,GBR6880R,Alegre,,,,,,1.533,,
