# RORC 2009 IRC1 - Entries: 85      Races Sailed: 12      Discard: 7 (None) - 85 boats - https://www.rorc.org/raceresults/2009/ms01os.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR1236L,Quokka,Corby 36,Andrew McIrvine,,,,1.069,,
,,GBR7383R,Puma Logic,Reflex 38,Sailing Logic Ltd,,,,1.071,,
,,GBR8883R,Below Zero,First 40.7,Graeme Lewis,,,,1.067,,
,,GBR1429L,British Soldier,Archambault A40,Army Sailing Association,,,,1.091,,
,,GBR7382R,Jaguar Logic,Reflex 38,Sailing Logic Ltd,,,,1.071,,
,,GBR5236R,Sonic Boom II,Figaro II,Simon Brady,,,,1.093,,
,,GBR8972T,Inseyandra,Bavaria 46,Solent Sail Ltd,,,,1.063,,
,,GBR8407R,Encore,First 40.7,Steven Anderson,,,,1.061,,
,,GBR8725T,Deliverance 2,Dehler 39,Chris Shipman,,,,1.073,,
,,GBR7041R,Anticipation,First 40.7,Peter Newlands,,,,1.061,,
,,GBR8445R,Beaurepere,Grand Soleil 45,Keith Harding,,,,1.072,,
,,FRA36777,Codiam,Grand Soleil 43,N Loday & J C Nicoleau,,,,1.103,,
,,GBR2722R,Jolly Jellyfish,J 122,David Richards,,,,1.096,,
,,GBR1471L,Inspire,Elan 410,Mike Theobald,,,,1.071,,
,,GBR8520R,Hot Stuff,First 40.7,Flying Fish,,,,1.063,,
,,GBR407T,Genie,First 40.7,Andrew Jackson,,,,1.062,,
,,GBR6665R,Cajou,IMX 40,Mark Chatfield,,,,1.069,,
,,GBR9793T,Cheeki Rafiki,First 40.7,Sebastian  Rouse,,,,1.065,,
,,GBR4778R,EH01,First 47.7,Global Yacht Racing,,,,1.103,,
,,GBR809,Lutine,Swan 53,Lloyds Yacht Club,,,,1.089,,
,,GBR503R,Oxygen III,Corby 34,Michael Birmingham,,,,1.075,,
,,GBR6512N,Oz Privateer,Prima 38,"T Basset, I Magee & G Minter",,,,1.074,,
,,GBR9388R,Lion,Reflex 38,Chris Reddish,,,,1.065,,
,,GBR7878R,Ding Dong,Stewart 37,Christopher Rustom,,,,1.080,,
,,GBR8999T,Destination Anywhere,Bavaria 46 C,Solent Sail Ltd,,,,1.069,,
,,GBR1002L,Heartbeat 3 of Burnham,Dufour 44,Jason Payne-James,,,,1.103,,
,,GBR122L,Mint Julep,J 122,David Cule,,,,1.093,,
,,GBR9922T,Jedi Knight,J 122,Stan Fenton,,,,1.091,,
,,GBR1547L,Ingenii,Hanse 470,Simon Phillips,,,,1.102,,
,,FRA36940,Batistyl,A 40,Cyrille Legloahec,,,,1.088,,
,,GBR7777L,Passion,Elan 410,Merchant Yachting,,,,1.068,,
,,GBR2041R,Great Scot IV,Elan 410,Martin Gibbon,,,,1.074,,
,,FRA36689,Coup De Coeur,First 40,Marc de Saint Denis,,,,1.095,,
,,GBR9305T,Davanti,Dehler 47,Philip Ives,,,,1.098,,
,,GBR5951T,Northern Child,Swan 51,Christian Reynolds,,,,1.089,,
,,FRA35950,Nutmeg  IV,J 122,Fran‡ois Lognone,,,,1.089,,
,,GBR532R,Sassenach,Swan 53,Ian Laing,,,,1.102,,
,,FRA122,Pen Azen,J 122,Philippe Delaporte,,,,1.089,,
,,GBR1232T,Phantom,Laurent Giles 44,Ashley Weston,,,,1.082,,
,,GBR7585R,Blueprint,First 40.7,John Wilkinson,,,,1.075,,
,,GBR1317L,Maluma,Elan 410,Merchant Yachting,,,,1.070,,
,,FRA36859,Stamina III,A 40,Michel Peretie,,,,1.091,,
,,GBR7001T,Gant Time,First 40.7,Gareth Williams,,,,1.060,,
,,GBR3205L,Star Chaser,Swan 51,Wijnand (Boogie) van den Boogaard,,,,1.084,,
,,GBR62L,Ariel,Colvic Craft 60,Clipper Ventures,,,,1.068,,
,,IRL1944,Galileo,First 47.7,Sean Lemass,,,,1.088,,
,,GBR2643R,Artemis,Grand Soleil 43,Arden Tomison,,,,1.076,,
,,GBR7381R,Cougar,Reflex 38,Steve Blake,,,,1.061,,
,,GBR9383R,Intuition,Reflex 38,Anna Rockall,,,,1.061,,
,,27,Hot Socks,Figaro II,Katie Miller,,,,1.092,,
,,FRA29999,L'Ange De Milon,X 43,Jacques Pelletier,,,,1.096,,
,,GBR68L,Blackadder,Colvic Craft 60,Clipper Ventures,,,,1.068,,
,,NED7345,Stortemelk,X 43,Frans De Vries Lentsch,,,,1.101,,
,,FRA35390,Optim'X,X 40,Frank Lang,,,,1.079,,
,,BEL3939,Allard,Sydney 39,Rudi Floridor,,,,1.104,,
,,NED6175,Ragazza,Dehler 39,B. Dolk,,,,1.066,,
,,FRA21599,Thom Pouce 2,IMX 40,Jean Yves Thomas,,,,1.077,,
,,NED7244,Junique,J 122,Chris Revelman,,,,1.093,,
,,FRA29222,Aviva Pierre Sollier,A 40,Pierre Sollier,,,,1.093,,
,,GBR6505N,Another Nods,Prima 38,Richard Booth,,,,1.076,,
,,GBR8581,Jalfrezi,J 120,Gareth Thomas,,,,1.066,,
,,GBR8383,Mighty Max II,Prima 38,Neil Thomas,,,,1.079,,
,,GBR4955R,Resting Goose,Sun Odyssey 49,Ann Chatterton,,,,1.071,,
,,NED6555,TU Delft,Farr 30,Sicco Dommerholt,,,,1.089,,
,,FRA27873,Moonlighting,Bavaria 42 Match,Patrick Nepveu,,,,1.083,,
,,FRA35800,Iritis,First 40,Hervé Benic,,,,1.092,,
,,GBR8221R,Ulula,J 122,Nick Ogden,,,,1.085,,
,,NED6606,PhoeniX,IMX 40,Marc Eriks,,,,1.084,,
,,GER4955,Arndt,X 442,Kieler Yacht-Club,,,,1.096,,
,,IRL4007,Tsunami,First 40.7,Peter Ryan,,,,1.064,,
,,GBR6514N,Bare Knuckles,Prima 38,Nigel Mashembo,,,,1.082,,
,,FRA36743,Jean-Charl',A 40 RC,Jean-Marie Lessard,,,,1.090,,
,,FRA18309,Tender to Rapetous,Farr 30,Antoine Pingard,,,,1.083,,
,,GBR1204,HMSTC Dasher,Nicholson 55,Peter Cooper,,,,1.072,,
,,FRA25767,Exception,X 40,Patrick Ponchelet,,,,1.062,,
,,GBR7682T,Lancastrian,Starlight 46,,,,,1.070,,
,,GBR6501N,White Knuckles,Prima 38,Dominic Hurndall,,,,1.073,,
,,GBR1202,Chaser,Nicholson 55,REME Yacht Club,,,,1.077,,
,,GBR6506N,Night Owl,Prima 38,Ed Hall,,,,1.068,,
,,GBR6525N,Revive,Prima 38,Paul A Farrands,,,,1.082,,
