# 2011 RORC Mainseries IRC Four - De Guingand Bowl Race (Sat 14 May 11 08:00:00) - 24 boats - https://www.rorc.org/raceresults/2011/four03.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA29483,Major Tom,Dufour 34,Fabrice Tropres,,15 May - 04:56:04,20:56:04,0.979,20:29:41,
2,94,NED118,Winsome,S&S 41,Harry Heijst,,15 May - 04:41:10,20:41:10,0.991,20:30:00,
3,90,FRA28747,Ultreia!,JPK 9.60,Matthias Kracht,2H,15 May - 05:01:28,21:01:28,0.977,20:32:27,
4,86,FRA9816,Adrenaline,Prism 28,Pierre Viard,,15 May - 05:04:47,21:04:47,0.990,20:52:08,
5,83,FRA3730,Vim,Aphrodite 101,Frederic Waniart,2H,15 May - 06:58:39,22:58:39,0.909,20:53:12,
6,80,GBR9956,Draig O'R Mor,Dehler 36,Kay & Kevin Stibbs,,15 May - 05:30:17,21:30:17,0.985,21:10:56,
7,78,GBR8329,Zanzara,Sigma 38,Nick Gale,,15 May - 05:38:58,21:38:58,0.985,21:19:29,
8,76,GBR9297R,Jika Jika,J/97,Mike & Jamie Holmes,2H Jamie Holmes & Tom Whicher,15 May - 05:45:44,21:45:44,0.983,21:23:32,
9,74,GBR4365T,Enigma,MG 346,Ian Braham,,15 May - 06:36:00,22:36:00,0.951,21:29:33,
10,72,GBR815,Longue Pierre,Dehler 38,D Cooper & P England,,15 May - 06:16:41,22:16:41,0.974,21:41:56,
11,70,GBR5615T,No Fear,Sigma 38,Mark Prosper,,15 May - 06:32:40,22:32:40,0.985,22:12:23,
12,68,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,2H,15 May - 07:15:28,23:15:28,0.958,22:16:51,
13,66,GBR8342,Inspiration of BOSS,Sigma 38,Peter Ellis,Vincent Lemoine,15 May - 07:16:18,23:16:18,0.985,22:55:21,
14,65,GBR8799T,Wild Spirit,Sun Odyssey 40,Paul Jackson,,15 May - 07:27:28,23:27:28,0.988,23:10:35,
15,64,GBR6013,Dans La Rouge,First 325,S. Grigg & A. Jackson,Simon Grigg,15 May - 09:38:38,1 - 01:38:38,0.913,23:24:46,
16,63,GBR1751T,Spellbinder Of Wytch,Starlight 39,Phoenix Yacht Club,Trevor Nicholls,15 May - 09:43:19,1 - 01:43:19,0.947,1 - 00:21:31,
17,62,GBR888,Rainbow UK,Contessa 32,Lee Egan,,15 May - 12:00:19,1 - 04:00:19,0.870,1 - 00:21:53,
18,61,GBR5007T,Little Spirit,First 375,Brian Cooper,,15 May - 10:07:02,1 - 02:07:02,0.934,1 - 00:23:37,
19,60,GBR8030T,Brisbane Star,Bavaria 37,Maurice Futerman,,15 May - 10:35:19,1 - 02:35:19,0.964,1 - 01:37:53,
20,59,GBR3297,Galliver II,Sigma 38,Stephen Orland,,15 May - 10:18:36,1 - 02:18:36,0.985,1 - 01:54:55,
21,58.5,GBR2899,Freebird,Sadler 34,Jonti Clews,2H,15 May - 13:21:08,1 - 05:21:08,0.892,1 - 02:10:56,
22,58,GBR644R,Maybird,Shepherd 43 Classic,Maybird Classic Sailing,Darryl Hughes,15 May - 16:13:48,1 - 08:13:48,0.904,1 - 05:08:09,
23,57.5,GBR1946L,Morwenna,Burnett 45 Pilot Cutter,Traditional Sailing,Stuart Jenkins,15 May - 20:40:00,1 - 12:40:00,0.925,1 - 09:55:00,
,10,GBR922R,Juno,X 34,Charles Whittam,,,,1.001,,DNF-Did Not Finish
